,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. The financial statement type is 'งบฐานะการเงิน' which maps to 'BS_A' in the Taxonomy list. Thus, the correct SET Code is '100400'.",งบฐานะการเงิน,สินทรัพย์,"[277700248, 0]"
1,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,"The query 'เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม' is an exact match for the 'item_in_taxonomy' in the Taxonomy list. The 'fs_category' ('สินทรัพย์') also aligns with the input metadata. Therefore, the correct SET Code is '100500'.",งบฐานะการเงิน,สินทรัพย์,"[3278377343, 3198129368]"
2,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,The input query 'เงินสดและรายการเทียบเท่าเงินสด' and financial_statement_type งบฐานะการเงิน directly match the item_in_taxonomy 'เงินสดและรายการเทียบเท่าเงินสด' and financial_statement_type 'BS_A' in the taxonomy list. ,งบฐานะการเงิน,สินทรัพย์,"[122021407, 387726396]"
3,ลูกหนี้ค่าเช่า - สุทธิ,102080,ลูกหนี้จากการให้เช่าและบริการ,"The input name 'ลูกหนี้ค่าเช่า - สุทธิ' is similar to บางครั้งใช้ขื่อว่า ลูกหนี้ค่าเช่าและบริการ หมายถึง ลูกหนี้จากการให้เช่าและบริการ ประกอบด้วยเลขอ้างอิงที่ 11 ถึง 12 and both have the same fs_category, financial_statement_type as the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[11542079, 16941887]"
4,รายได้ค้างรับ,103200,สินทรัพย์ที่เกิดจากสัญญา,"The input name 'รายได้ค้างรับ' combined with the input metadata 'fs_category' as 'สินทรัพย์' suggests a match with the item 'สินทรัพย์ที่เกิดจากสัญญา' in the taxonomy list. This is because the meaning of 'สินทรัพย์ที่เกิดจากสัญญา' aligns with the input, indicating a right to receive consideration for goods or services already transferred, with conditions other than time, such as milestone payments.",งบฐานะการเงิน,สินทรัพย์,"[15656007, 15567768]"
5,ลูกหนี้อื่น,102090,ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น,"The input name 'ลูกหนี้อื่น' matches exactly with the item_in_taxonomy 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น' in the Taxonomy list.  Also, the value of property 'fs_category' in the Taxonomy list item is 'สินทรัพย์' which is related to 'สินทรัพย์' from the INPUT METADATA.",งบฐานะการเงิน,สินทรัพย์,"[1731442, 920019]"
6,ค่าใช้จ่ายรอการตัดบัญชี,102100,ค่าใช้จ่ายรอการตัดบัญชี,"The input item name ค่าใช้จ่ายรอการตัดบัญชี exists in the taxonomy list with fs_category สินทรัพย์, which is related to the input metadata fs_category สินทรัพย์. Thus, the set code should be 102100 and the item in taxonomy is ค่าใช้จ่ายรอการตัดบัญชี",งบฐานะการเงิน,สินทรัพย์,"[7775682, 7879250]"
7,สินทรัพย์อื่น,109990,สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ,"The input 'สินทรัพย์อื่น' matches the fs_category 'สินทรัพย์' and the financial statement type 'งบฐานะการเงิน' maps to 'BS_A' in the taxonomy list. Therefore, the most relevant item in the taxonomy is 'สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ' with SET Code '109990'.",งบฐานะการเงิน,สินทรัพย์,"[4893621, 2364938]"
8,รวมสินทรัพย์,109999,รวมสินทรัพย์,Found the exact match for the input query 'รวมสินทรัพย์' with financial_statement_type as งบฐานะการเงิน and fs_category as รวมสินทรัพย์ in the taxonomy list. ,งบฐานะการเงิน,รวมสินทรัพย์,"[3719697829, 3629529626]"
9,เจ้าหนี้อื่น,201160,เจ้าหนี้การค้าและเจ้าหนี้อื่น เจ้าหนี้อื่น,"The query 'เจ้าหนี้อื่น' matches the item 'เจ้าหนี้การค้าและเจ้าหนี้อื่น เจ้าหนี้อื่น' in the taxonomy list. This item's fs_category is 'หนี้สิน', aligning with the input metadata.",งบฐานะการเงิน,หนี้สิน,"[30349685, 26102246]"
10,เงินมัดจำรับจากผู้เช่า,202210,หนี้สินทางการเงินอื่น เงินมัดจำ,The input query 'เงินมัดจำรับจากผู้เช่า' matches the meaning of taxonomy in the list where the item in taxonomy is 'หนี้สินทางการเงินอื่น เงินมัดจำ'.,งบฐานะการเงิน,หนี้สิน,"[95568596, 95611415]"
11,ภาษีเงินได้หัก ณ ที่จ่ายค้างชำระ,204010,เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย,"The input query 'ภาษีเงินได้หัก ณ ที่จ่ายค้างชำระ' is related to tax payable. The meaning of taxonomy 'บางครั้งใช้ขื่อว่า ภาษีเงินได้หักณที่จ่ายค้างชำระ หมายถึง ค่าภาษีหรืออากรค้างจ่าย เช่น ภาษีมูลค่าเพิ่มรอนำส่ง ภาษีสรรพสามิต ค่าอากรจ่ายแก่กรมศุลกากร ภาษีเงินได้หัก ณ ที่จ่ายค้างจ่าย ที่กองทุนจะต้องจ่ายชำระในอนาคต' matches the input query. Also, the input metadata 'financial_statement_type' is 'งบฐานะการเงิน' and 'fs_category' is 'หนี้สิน' which is matched in the taxonomy list. Therefore, the correct SET Code is 204010 and Item in Taxonomy is 'เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย'.",งบฐานะการเงิน,หนี้สิน,"[3514181, 2983659]"
12,หนี้สินตามสัญญาเช่า,202400,หนี้สินตามสัญญาเช่า,"The query 'หนี้สินตามสัญญาเช่า' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field is 'หนี้สิน' which is related to the input metadata. Therefore, the correct SET Code is '202400'.",งบฐานะการเงิน,หนี้สิน,"[39533348, 44097134]"
13,หนี้สินอื่น,209900,หนี้สินอื่น,"From the Taxonomy list, I found the item 'หนี้สินอื่น' which has fs_category as 'หนี้สิน' that is related to the input. And financial_statement_type is 'BS_L' which matched the input metadata.",งบฐานะการเงิน,หนี้สิน,"[4679691, 4848815]"
14,รวมหนี้สิน,209999,รวมหนี้สิน,"The input item name is  'รวมหนี้สิน' and financial_statement_type is 'งบฐานะการเงิน' which maps to 'BS_L'. We found a match with fs_category 'รวมหนี้สิน' in the taxonomy list. Therefore, the correct set_code is '209999' and item_in_taxonomy is 'รวมหนี้สิน'.",งบฐานะการเงิน,รวมหนี้สิน,"[173645501, 173643269]"
15,สินทรัพย์สุทธิ,309998,รวมสินทรัพย์สุทธิ,The input item name is สินทรัพย์สุทธิ and financial_statement_type is งบฐานะการเงิน.  The closest matched item in taxonomy is รวมสินทรัพย์สุทธิ with financial_statement_type is BS_OE,งบฐานะการเงิน,สินทรัพย์สุทธิ,"[3546052328, 3455886357]"
16,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,"The query 'ทุนที่ได้รับจากผู้ถือหน่วยลงทุน' matched to a item_in_taxonomy with the same name.  The financial_statement_type is BS_OE, which is aligned with the input metadata 'งบฐานะการเงิน'.",งบฐานะการเงิน,สินทรัพย์สุทธิประกอบด้วย,"[3234000000, 3234000000]"
17,กำไรสะสม,310600,กำไร (ขาดทุน) สะสม,"The input 'กำไรสะสม' matches the item 'กำไร (ขาดทุน) สะสม' in the taxonomy list.  Also, the fs_category of the input and the selected item are both related to 'สินทรัพย์สุทธิประกอบด้วย'.",งบฐานะการเงิน,สินทรัพย์สุทธิประกอบด้วย,"[312052328, 221886357]"
18,สินทรัพย์สุทธิต่อหน่วย,330101,สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย),"Found an exact match for the query ""สินทรัพย์สุทธิต่อหน่วย"" in the taxonomy list. financial_statement_type from INPUT METADATA matches the taxonomy list.",งบฐานะการเงิน,,"[10.7456, 10.4723]"
19,จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด (หน่วย),330201,จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย),"The query is a close match to the meaning of taxonomy 'บางครั้งใช้ขื่อว่า จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมดณวันสิ้นงวด(หน่วย) หมายถึง จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย) ที่กองทุนได้รับมา'. Thus, the selected SET Code is 330201 and Item in Taxonomy is จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย).",งบฐานะการเงิน,,"[330000000, 330000000]"
20,รายได้ค่าเช่าและบริการ,410123,รายได้ค่าเช่าและบริการ,"The input item matches  item_in_taxonomy in the Taxonomy list. Thus, the set_code is 410123 and item_in_taxonomy is รายได้ค่าเช่าและบริการ",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),รายได้,"[79561738, 76894712, 157320597, 147825690]"
21,รายได้ดอกเบี้ย,410108,รายได้ดอกเบี้ย,"From the Taxonomy list, รายได้ดอกเบี้ย item's fs_category is related to รายได้ in the INPUT METADATA. Thus, the correct SET Code is 410108 and Item in Taxonomy is รายได้ดอกเบี้ย",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),รายได้,"[1699322, 434269, 2185974, 782737]"
22,รายได้อื่น,410200,รายได้อื่น,"From the Taxonomy list, the item 'รายได้อื่น' with fs_category 'กำไรขาดทุน' is related to the input query 'รายได้อื่น' and fs_category 'รายได้' from the metadata. Therefore, the most suitable SET Code is 410200.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),รายได้,"[556394, 500433, 1095521, 1132841]"
23,รวมรายได้,419999,รวมรายได้,"The input query 'รวมรายได้' matches exactly with item 'รวมรายได้' in the taxonomy list, and the fs_category in taxonomy list is related to รายได้ in the input metadata. Thus, the SET Code should be 419999.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),รายได้,"[81817454, 77829414, 160602092, 149741268]"
24,ต้นทุนการให้เช่าและบริการ,420700,ต้นทุนค่าเช่าและค่าบริการ,"The input item name 'ต้นทุนการให้เช่าและบริการ' is very similar to the item 'ต้นทุนค่าเช่าและค่าบริการ' in the taxonomy list.  Also, both have the same fs_category, which is 'กำไรขาดทุน'. Thus, the set code '420700' and item 'ต้นทุนค่าเช่าและค่าบริการ' are selected.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[10761030, 11854157, 20557255, 22237534]"
25,ค่าธรรมเนียมการจัดการ,421300,ค่าธรรมเนียมการจัดการ,"The input item name 'ค่าธรรมเนียมการจัดการ' is an exact match with the item 'ค่าธรรมเนียมการจัดการ' in the taxonomy list.  Also, the fs_category 'กำไรขาดทุน' is related to 'ค่าใช้จ่าย' from the input metadata.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[1095802, 1066530, 2184247, 2128999]"
26,ค่าธรรมเนียมผู้ดูแลผลประโยชน์,421400,ค่าธรรมเนียมผู้ดูแลผลประโยชน์ ค่าธรรมเนียมทรัสตี,"The query mentions ""ค่าธรรมเนียมผู้ดูแลผลประโยชน์"" which is related to trustee fee. The closest match in the taxonomy list is ""ค่าธรรมเนียมผู้ดูแลผลประโยชน์ ค่าธรรมเนียมทรัสตี"" with SET Code ""421400"".",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[273951, 266633, 546062, 532250]"
27,ค่าธรรมเนียมนายทะเบียน,421600,ค่าธรรมเนียมนายทะเบียน,"The query 'ค่าธรรมเนียมนายทะเบียน' directly matches the item 'ค่าธรรมเนียมนายทะเบียน' in the taxonomy list.  This item's fs_category is 'กำไรขาดทุน', which is related to the input metadata 'ค่าใช้จ่าย'.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[456584, 444388, 910103, 887083]"
28,ค่าธรรมเนียมผู้บริหารอสังหาริมทรัพย์,421700,ค่าธรรมเนียมบริหารอสังหาริมทรัพย์,"The query ค่าธรรมเนียมผู้บริหารอสังหาริมทรัพย์ best matches the item_in_taxonomy ค่าธรรมเนียมบริหารอสังหาริมทรัพย์ in the Taxonomy list. Although no exact match for fs_category ค่าใช้จ่าย, we select the closest match based on item_in_taxonomy.",งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[7474382, 7157111, 14337188, 15356638]"
29,ค่าธรรมเนียมวิชาชีพ,421500,ค่าธรรมเนียมวิชาชีพ,The INPUT 'ค่าธรรมเนียมวิชาชีพ' directly matches with item_in_taxonomy 'ค่าธรรมเนียมวิชาชีพ' in the Taxonomy list. And the fs_category of the selected item is 'กำไรขาดทุน' which is related to 'ค่าใช้จ่าย' in INPUT METADATA.,งบกำไรขาดทุนเบ็ดเสร็จ (ยังไม่ได้ตรวจสอบ),ค่าใช้จ่าย,"[360651, 299178, 659012, 1536233]"
