,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The query 'เงินสด' matches directly with the 'item_in_taxonomy' 'เงินสด' in the taxonomy list.  The 'fs_category' of 'สินทรัพย์' also aligns with the input metadata. Therefore, the SET Code is '100100'.",งบฐานะการเงิน,สินทรัพย์,"[22702027, 25127673]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input name 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' is very similar to the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the taxonomy list. Considering the input metadata states that financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์, the most relevant taxonomy item is 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' with set code '100200'.",งบฐานะการเงิน,สินทรัพย์,"[501846916, 489172830]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query matches the item_in_taxonomy ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" in the Taxonomy list. Also, financial_statement_type งบฐานะการเงิน is BS_A and fs_category is สินทรัพย์ match the criteria.",งบฐานะการเงิน,สินทรัพย์,"[2303149, 622531]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input item name and the input metadata's fs category match the item in the taxonomy list. Thus, the SET Code and Item in Taxonomy are selected from the matched item in the Taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[37583142, 29257667]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The user's input matches the item 'เงินลงทุน - สุทธิ' in the taxonomy list directly, and the fs_category also matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[131584335, 125353247]"
5,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,102600,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ,"The input query explicitly mentions ""เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้า"" which directly corresponds to multiple items in the taxonomy. However, none of the items explicitly mention the term ""สุทธิ"". In this scenario, we can infer ""สุทธิ"" (net) as a common accounting term often used. Therefore, the closest matching item considering the input's financial statement type and fs category is  ""เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ"".",งบฐานะการเงิน,สินทรัพย์,"[94779753, 90571525]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The input query 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ' is closely related to the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list. Both represent the net value of loans given to customers, including accrued interest. The provided 'fs_category' of 'สินทรัพย์' also aligns with the taxonomy.",งบฐานะการเงิน,สินทรัพย์,"[1674012164, 1701804771]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is a close match to the item 'ทรัพย์สินรอการขาย - สุทธิ' in the provided taxonomy list. Additionally, both have the same 'fs_category': 'สินทรัพย์' and 'financial_statement_type': 'BS_A'.",งบฐานะการเงิน,สินทรัพย์,"[5653587, 5226076]"
8,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is a close match to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the provided taxonomy list.  Both terms refer to fixed assets after deducting accumulated depreciation and impairment. Therefore, SET Code 103800 is selected.",งบฐานะการเงิน,สินทรัพย์,"[31764154, 31764854]"
9,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,"The query 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ' is an exact match to the 'item_in_taxonomy' field 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ' in the taxonomy list, and the 'fs_category' field 'สินทรัพย์' matched the input metadata. Therefore, the correct SET Code is '104000'.",งบฐานะการเงิน,สินทรัพย์,"[4253624, 3765833]"
