,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' ('สินทรัพย์หมุนเวียน') is related to the input metadata 'fs_category' ('สินทรัพย์').",งบฐานะการเงิน,สินทรัพย์,"[4492, 199]"
1,ลูกหนี้หมุนเวียนอื่น,113130,สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น,"The INPUT, ลูกหนี้หมุนเวียนอื่น, matches the meaning_of_taxonomy in the Taxonomy list where financial_statement_type is BS_A and fs_category is สินทรัพย์หมุนเวียน.",งบฐานะการเงิน,สินทรัพย์,"[713, 948]"
2,ดอกเบี้ยค้างรับบริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input mentions ""ดอกเบี้ยค้างรับ"" and ""บริษัทที่เกี่ยวข้องกัน"" which directly corresponds to the item ""เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน"" in the taxonomy list. The input's fs_category is สินทรัพย์, and the taxonomy's fs_category is สินทรัพย์หมุนเวียน, which both fall under the broader category of assets.",งบฐานะการเงิน,สินทรัพย์,"[0, 550]"
3,เงินให้กู้ยืมแก่บริษัทอื่นที่ผิดนัดชำระหนี้หมุนเวียน - สุทธิ,122050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The input name implies that this is under  ""ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - สุทธิ"" and maps to financial_statement_type  BS_A and fs_category สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์,"[304474, 304474]"
4,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input name 'เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน' is similar to the meaning of taxonomy 'บางครั้งใช้ขื่อว่า เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน หมายถึง เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับที่เป็นรายการกับบุคคลหรือกิจการที่เกี่ยวข้องกัน (อ้างอิงตามคำนิยามของบุคคลหรือกิจการที่เกี่ยวข้องกันตามมาตรฐานการบัญชี ฉบับที่ 24 เรื่อง บุคคลหรือกิจการที่เกี่ยวข้องกัน)' in the Taxonomy list. Thus, the correct SET Code is 112320 and Item in Taxonomy is เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน",งบฐานะการเงิน,สินทรัพย์,"[0, 211558]"
5,อสังหาริมทรัพย์พัฒนาเพื่อขาย,112900,สินค้าคงเหลือ - สุทธิ,"From the Taxonomy list, the item 'สินค้าคงเหลือ - สุทธิ' with the meaning 'บางครั้งใช้ขื่อว่า อสังหาริมทรัพย์พัฒนาเพื่อขาย หมายถึง สินค้าสำเร็จรูป งานหรือสินค้าระหว่างทำ วัตถุดิบบรรจุภัณฑ์ วัตถุดิบและวัสดุที่ใช้ในการผลิตเพื่อขายหรือให้บริการตามปกติของบริษัท ที่บริษัทยังไม่โอนการควบคุมในสินค้าดังกล่าวให้แก่ลูกค้า โดยแสดงเป็นจำนวนเงินสุทธิจากค่าเผื่อการลดลงในมูลค่า และค่าเผื่อสินค้าล้าสมัยและเสื่อมสภาพทั้งนี้ ลักษณะของสินค้าคงเหลือดังกล่าวขึ้นอยู่กับลักษณะการประกอบธุรกิจตามปกติของบริษัท ' matches the input query 'อสังหาริมทรัพย์พัฒนาเพื่อขาย' using the keyword 'อสังหาริมทรัพย์พัฒนาเพื่อขาย'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0]"
6,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,114500,ภาษีเงินได้นิติบุคคลค้างรับ - หมุนเวียน,"The closest match from the provided taxonomy list is 'ภาษีเงินได้นิติบุคคลค้างรับ - หมุนเวียน' because the input name can be interpreted as current tax asset, and this item's meaning is tax refund within 12 months. Considering the input metadata financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์, it's reasonable to select this item.",งบฐานะการเงิน,สินทรัพย์,"[0, 2165]"
7,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113100,สินทรัพย์ทางการเงินหมุนเวียนอื่น,Found an exact match for the input query 'สินทรัพย์ทางการเงินหมุนเวียนอื่น' in the Taxonomy list.  The fs_category property ('สินทรัพย์หมุนเวียน') is related to the input metadata fs_category 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[0, 85068]"
8,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,"The query 'รวมสินทรัพย์หมุนเวียน' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('สินทรัพย์หมุนเวียน') is related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[516919, 597252]"
9,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123100,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,"The query 'สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น' is a perfect match to the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' is 'สินทรัพย์ไม่หมุนเวียน' which is related to the input metadata 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[72661, 71193]"
