,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The query 'เงินสด' matches directly with the 'item_in_taxonomy' 'เงินสด' in the taxonomy list.  The 'fs_category' of 'สินทรัพย์' also aligns with the input metadata. Therefore, the correct SET Code is '100100'.",งบฐานะการเงินรวม,สินทรัพย์,"[791393.0, 691505.0]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input query 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' is very similar to the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the taxonomy list. Thus, the SET code should be '100200'.",งบฐานะการเงินรวม,สินทรัพย์,"[14183871.0, 30724440.0]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query perfectly matches the item ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" in the taxonomy list. Also, the fs_category in the taxonomy list item is สินทรัพย์, which is related to the input metadata fs_category.",งบฐานะการเงินรวม,สินทรัพย์,"[41371.0, 80548.0]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input item name is สินทรัพย์อนุพันธ์ and financial_statement_type is งบฐานะการเงินรวม, fs_category is สินทรัพย์. Thus, the matched taxonomy item name is สินทรัพย์อนุพันธ์ with set_code 103000",งบฐานะการเงินรวม,สินทรัพย์,"[1427788.0, 703326.0]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,The user's query 'เงินลงทุนสุทธิ' directly matches the 'item_in_taxonomy' 'เงินลงทุน - สุทธิ' in the taxonomy list. financial_statement_type is BS_A because  INPUT METADATA: financial_statement_type is งบฐานะการเงินรวม. fs_category is สินทรัพย์.,งบฐานะการเงินรวม,สินทรัพย์,"[47935389.0, 49476918.0]"
5,เงินลงทุนในบริษัทย่อยสุทธิ,102710,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย,"The query mentions ""เงินลงทุนในบริษัทย่อยสุทธิ"" which directly corresponds to the definition of 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย' in the taxonomy list. This item also aligns with the provided 'fs_category' of 'สินทรัพย์'.",งบฐานะการเงินรวม,สินทรัพย์,"[0.0, 0.0]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The query 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ' is very similar to the 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list. Thus, the SET Code should be '102000'.",งบฐานะการเงินรวม,สินทรัพย์,"[230397019.0, 228697534.0]"
7,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,"The query 'อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ' is an exact match to the 'meaning_of_taxonomy' field in the Taxonomy list, where the 'item_in_taxonomy' is 'อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ' and the 'set_code' is '103700'.",งบฐานะการเงินรวม,สินทรัพย์,"[0.0, 0.0]"
8,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is very similar to the 'ทรัพย์สินรอการขาย - สุทธิ' in the taxonomy list. Thus, the SET code should be 103500.",งบฐานะการเงินรวม,สินทรัพย์,"[8190043.0, 8304680.0]"
9,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,The input name 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is directly mentioned in the meaning of taxonomy of the selected item and the fs_category is matched.,งบฐานะการเงินรวม,สินทรัพย์,"[453013.0, 421296.0]"
