,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินลงทุนในหลักทรัพย์   ที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน(ราคาทุน ณ วันที่ 30 มิถุนายน 2567 : 91 ล้านบาทและ ณ วันที่ 31 ธันวาคม 2566 : 93 ล้านบาท),100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,The query mentions an investment in securities that is measured at fair value through profit or loss. This aligns with the definition of 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' in the taxonomy list. ,งบแสดงฐานะการเงิน,สินทรัพย์,"[90867919.0, 92791484]"
1,"เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม(ราคาทุน 1,010,475,593 บาท)",100500,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,"The query explicitly mentions ""เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม"", which directly matches an item in the taxonomy list. ",งบแสดงฐานะการเงิน,สินทรัพย์,"[1310100000.0, 1310100000]"
2,เงินฝากสถาบันการเงิน,100100,เงินสดและรายการเทียบเท่าเงินสด,"The user's query refers to general bank deposits, which, without further specification, most closely resemble the broader category of ""Cash and Cash Equivalents"" within the provided taxonomy. ",งบแสดงฐานะการเงิน,สินทรัพย์,"[6863440.0, 5791683]"
3,ลูกหนี้จากการให้เช่าและบริการ,102080,ลูกหนี้จากการให้เช่าและบริการ,"Found an exact match for the input query ลูกหนี้จากการให้เช่าและบริการ in the Taxonomy list.  The fs_category property is สินทรัพย์, aligning with the input metadata.",งบแสดงฐานะการเงิน,สินทรัพย์,"[539120.0, 1592303]"
4,ค่าใช้จ่ายรอการตัดบัญชี,102100,ค่าใช้จ่ายรอการตัดบัญชี,The query 'ค่าใช้จ่ายรอการตัดบัญชี' matched to multiple items in the taxonomy list.  Selected the item with matching fs_category and financial_statement_type.,งบแสดงฐานะการเงิน,สินทรัพย์,"[4123091.0, 3003848]"
5,ค่าใช้จ่ายจ่ายล่วงหน้า,109910,ค่าใช้จ่ายจ่ายล่วงหน้า,"The input item name is ค่าใช้จ่ายจ่ายล่วงหน้า and financial_statement_type is งบแสดงฐานะการเงิน, fs_category is สินทรัพย์. Thus, the matched item in the taxonomy is ค่าใช้จ่ายจ่ายล่วงหน้า with set code 109910",งบแสดงฐานะการเงิน,สินทรัพย์,"[1844150.0, 1856811]"
6,สินทรัพย์อื่น,109900,สินทรัพย์อื่น - สุทธิ,"The query 'สินทรัพย์อื่น' directly matches the item 'สินทรัพย์อื่น - สุทธิ' in the taxonomy list. Additionally, the 'fs_category' value of 'สินทรัพย์' aligns with the INPUT METADATA.",งบแสดงฐานะการเงิน,สินทรัพย์,"[215412.0, 211457]"
7,รวมสินทรัพย์,109999,รวมสินทรัพย์,The query 'รวมสินทรัพย์' and financial_statement_type งบแสดงฐานะการเงิน strongly suggest a match with the item 'รวมสินทรัพย์' (Total Assets) in the taxonomy.  The provided fs_category 'สินทรัพย์' also aligns with this item.,งบแสดงฐานะการเงิน,สินทรัพย์,"[1414553132.0, 1415347586]"
8,เจ้าหนี้,201100,เจ้าหนี้การค้าและเจ้าหนี้อื่น,"The input query 'เจ้าหนี้' matches the broader category 'เจ้าหนี้การค้าและเจ้าหนี้อื่น' in the provided taxonomy list. Considering the fs_category 'หนี้สิน' and financial_statement_type 'BS_L', the most appropriate match is the parent category itself.",งบแสดงฐานะการเงิน,หนี้สิน,"[424757.0, 867604]"
9,ค่าธรรมเนียมผู้จัดการกองทุน,201140,เจ้าหนี้การค้าและเจ้าหนี้อื่น เจ้าหนี้การค้า,"The input mentions that the financial statement type is BS_L and fs_category is หนี้สิน. From the taxonomy list, the item 'เจ้าหนี้การค้าและเจ้าหนี้อื่น เจ้าหนี้การค้า' with set code '201140' matches the input as it falls under the correct fs_category and its meaning aligns with the input query.",งบแสดงฐานะการเงิน,หนี้สิน,"[60680.0, 123943]"
