,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The user is looking for the SET Code and Item in Taxonomy for ""เงินสดและรายการเทียบเท่าเงินสด"" in the financial statement type งบฐานะการเงิน, fs_category สินทรัพย์. This directly matches the item_in_taxonomy ""เงินสดและรายการเทียบเท่าเงินสด"" with the set_code ""110100"" in the provided taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[507098, 1786107, 340111, 1501939]"
1,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,"The query 'เงินฝากธนาคารที่มีข้อจำกัดในการใช้' is related to restricted deposits. Considering the provided input metadata 'fs_category' as 'สินทรัพย์', the most relevant item from the taxonomy list is 'เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน' with SET Code '110300'.",งบฐานะการเงิน,สินทรัพย์,"[6610, 7313, 0, 0]"
2,ลูกหนี้การค้าและลูกหนี้อื่น,112000,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input name 'ลูกหนี้การค้าและลูกหนี้อื่น' closely resembles the item 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ' in the provided taxonomy list. Considering the input metadata specifies the fs_category as 'สินทรัพย์', it aligns with the broader category of the suggested item. Therefore, the most fitting SET Code is '112000'.",งบฐานะการเงิน,สินทรัพย์,"[434102, 638485, 40823, 51951]"
3,รายได้ค้างรับ,112400,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The input item name is รายได้ค้างรับ and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Although there is no perfect match, the closest item from the Taxonomy list is เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี, which belongs to fs_category สินทรัพย์หมุนเวียน.",งบฐานะการเงิน,สินทรัพย์,"[28377, 24190, 19723, 17179]"
4,เบี้ยประกันภัยค้างรับ,112071,เงินปันผลค้างรับ,"The closest match from the provided taxonomy list is 'เงินปันผลค้างรับ' (Dividend Receivables) because, based on the input metadata, the item should belong to the asset category in the balance sheet. Although it's not a perfect match, it's the most relevant option available in the context.",งบฐานะการเงิน,สินทรัพย์,"[67280, 141556, 0, 0]"
5,สินทรัพย์จากการประกันภัยต่อ,119990,สินทรัพย์หมุนเวียนอื่น สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,"The meaning_of_taxonomy field in the Taxonomy list defines 'สินทรัพย์จากการประกันภัยต่อ' as 'สินทรัพย์หมุนเวียนอื่นประเภทอื่น ๆ นอกเหนือจากเลขอ้างอิงที่ 45 ถึง 46'. Thus, the most appropriate match is 'สินทรัพย์หมุนเวียนอื่น สินทรัพย์หมุนเวียนอื่น - อื่น ๆ' with SET Code '119990'.",งบฐานะการเงิน,สินทรัพย์,"[239924, 272928, 0, 0]"
6,ลูกหนี้จากสัญญาประกันภัยต่อ,122050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The query mentions insurance, which suggests a long-term agreement. Therefore, the closest match in the taxonomy is  'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ' under set code 122050, which refers to non-current receivables.",งบฐานะการเงิน,สินทรัพย์,"[84462, 76720, 0, 0]"
7,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ ลูกหนี้เงินให้สินเชื่อ,"The meaning of taxonomy states ""บางครั้งใช้ขื่อว่า เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี"".  Therefore, the query matches this item in taxonomy.",งบฐานะการเงิน,สินทรัพย์,"[1071128, 1084990, 738676, 676690]"
8,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input name 'เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน' is mentioned in the meaning of taxonomy of 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' and financial_statement_type, fs_category matched.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 12255000, 12628000]"
9,เงินให้กู้ยืมระยะยาวแก่บริษัทที่เกี่ยวข้องกันที่ถึงกำหนดชำระภายในหนึ่งปี,112420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,The input name mentions  'เงินให้กู้ยืมระยะยาว' and 'ถึงกำหนดชำระภายในหนึ่งปี' and 'บริษัทที่เกี่ยวข้องกัน' which is similar to the meaning of taxonomy with 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน',งบฐานะการเงิน,สินทรัพย์,"[534003, 467489, 534003, 467489]"
