,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' is an exact match with the item_in_taxonomy 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' in the taxonomy list. The fs_category is 'สินทรัพย์' which is related to the input metadata. Thus, the set_code '100400' is the most appropriate match.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,[0]
1,อสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,"The input name suggests that this is an asset measured at fair value. The taxonomy list contains an item 'เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม' which refers to investments in properties at fair value, aligning with the input.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[49774824, 49824979]"
2,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The input query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  The input metadata 'fs_category' is 'สินทรัพย์' which is also a match. Therefore, the correct SET Code is '100100'.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[244238, 279665]"
3,ลูกหนี้ค่าเช่าและบริการ,102080,ลูกหนี้จากการให้เช่าและบริการ,"The input name 'ลูกหนี้ค่าเช่าและบริการ' is a close match to the item 'ลูกหนี้จากการให้เช่าและบริการ' in the provided taxonomy list.  Both terms refer to outstanding payments for rental and services. The input metadata specifies 'fs_category' as 'สินทรัพย์', and this aligns with the 'fs_category' of the selected taxonomy item.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[160215, 149605]"
4,ดอกเบี้ยค้างรับ,102072,ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย,"The input name 'ดอกเบี้ยค้างรับ' is related to the meaning of taxonomy 'บางครั้งใช้ขื่อว่า ดอกเบี้ยค้างรับ หมายถึง ดอกเบี้ยรับจากค่าตอบแทนอันเกิดจากการให้ผู้อื่นใช้เงินสด  ทั้งในส่วนที่ได้รับเป็นเงินสด รายการเทียบเท่าเงินสด หรือจำนวนค้างรับของกองทุน ซึ่งกองทุนมีสิทธิที่จะได้รับและได้รับรู้เป็นรายได้ แต่ยังไม่ได้รับชำระเงิน' in the provided Taxonomy list. Thus, the SET Code should be '102072' and Item in Taxonomy should be 'ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย'.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[31, 993]"
5,ลูกหนี้บริษัทประกันภัย,102090,ลูกหนี้อื่น,"The input name suggests this is a type of receivable from an insurance company, which does not fall under trade receivables. Therefore, it is classified as ""ลูกหนี้อื่น"" (Other receivables) in the taxonomy.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[0, 29433]"
6,ลูกหนี้อื่น,102090,ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น,The INPUT 'ลูกหนี้อื่น' matches the item_in_taxonomy 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น' in the Taxonomy list. Both share the same meaning and are categorized under 'สินทรัพย์' in the financial statement.,งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[1879, 1913]"
7,ค่าใช้จ่ายรอการตัดบัญชี,102100,ค่าใช้จ่ายรอการตัดบัญชี,"The query 'ค่าใช้จ่ายรอการตัดบัญชี' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('สินทรัพย์') is also a match with the input metadata. Therefore, the correct SET Code is '102100'.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,[0]
8,สินทรัพย์อื่น,109990,สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ,The input name สินทรัพย์อื่น is related to other asset. And the most relevant item in taxonomy list is สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ with set code 109990,งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[118643, 113724]"
9,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The input name 'รวมสินทรัพย์' is an exact match with the 'item_in_taxonomy' in the Taxonomy list, and the 'fs_category' ('สินทรัพย์') also aligns with the input metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[50299830, 50400312]"
10,เงินกู้ยืมระยะสั้น,201700,เงินกู้ยืมระยะสั้น,The input query 'เงินกู้ยืมระยะสั้น' and input metadata 'fs_category' is 'หนี้สิน' directly match the item 'เงินกู้ยืมระยะสั้น' with the fs_category 'หนี้สิน' in the taxonomy list.,งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[1328000, 3549700]"
11,ค่าใช้จ่ายค้างจ่าย,202500,ค่าใช้จ่ายค้างจ่าย,"The query 'ค่าใช้จ่ายค้างจ่าย' matches directly with an item in the taxonomy list with the same name.  The fs_category of this item is 'หนี้สิน', which matches the input metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[145551, 146236]"
12,ดอกเบี้ยค้างจ่าย,202500,ค่าใช้จ่ายค้างจ่าย,"The input query ""ดอกเบี้ยค้างจ่าย"" implies an accrued expense, and the input metadata specifies financial_statement_type as งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ) and fs_category as หนี้สิน. The most relevant item in the taxonomy list is ค่าใช้จ่ายค้างจ่าย with set code 202500, which aligns with the input query and metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[47200, 109272]"
13,ภาษีหัก ณ ที่จ่ายค้างจ่าย,204010,เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย,"The input mentions 'ภาษีหัก ณ ที่จ่ายค้างจ่าย' which refers to withholding tax payable. The provided taxonomy list includes entries related to tax payables. The closest match, considering the input and the available options, is 'เจ้าหนี้ที่เกิดจากภาษีอื่นหรือรายการอื่นภายใต้กฎหมาย เจ้าหนี้ภาษีค้างจ่าย' which translates to 'Other Tax Or Other Payables Under Law And Regulations Other Tax Payables'. This option aligns with the input's context of outstanding tax obligations.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[33661, 638]"
14,เงินมัดจำรับค่าเช่าและบริการ,202320,หนี้สินที่เกิดจากสัญญาและค่าเช่ารับล่วงหน้า รายได้รับล่วงหน้า - อื่น ๆ,"The input refers to deposits received for rent and services. It matches the broader category of 'หนี้สินที่เกิดจากสัญญาและค่าเช่ารับล่วงหน้า' (Contract Liabilities and Unearned Rental Income) as it represents an obligation to perform services in the future. More specifically, it falls under 'รายได้รับล่วงหน้า - อื่น ๆ' (Deferred Revenue - Others) as it is a prepayment for services beyond the scope of 'ค่าเช่ารับล่วงหน้า' (Unearned Rental Income).",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[1302885, 1282488]"
15,หนี้สินตามสัญญาเช่า,202400,หนี้สินตามสัญญาเช่า,"The query 'หนี้สินตามสัญญาเช่า' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field matches the input metadata 'fs_category'.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[170714, 176365]"
16,เงินกู้ยืมระยะยาว,201800,หนี้สินระยะยาว,"The input name 'เงินกู้ยืมระยะยาว' matches the meaning of taxonomy in multiple items.  However, only the item with set_code '201800' has the same fs_category 'หนี้สิน' as the input metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[0, 0]"
17,หุ้นกู้,201830,หนี้สินระยะยาว หุ้นกู้,"The input query 'หุ้นกู้' and fs_category 'หนี้สิน' from financial report  is found in the taxonomy list. Thus, the selected SET Code is 201830 and Item in Taxonomy is หนี้สินระยะยาว หุ้นกู้.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[11399832, 11332132]"
18,หนี้สินอื่น,209900,หนี้สินอื่น,"The query 'หนี้สินอื่น' is an exact match for the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field in the taxonomy list matches the 'fs_category' provided in the input metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[48823, 35374]"
19,รวมหนี้สิน,209999,รวมหนี้สิน,"The query 'รวมหนี้สิน' directly matches the 'item_in_taxonomy' 'รวมหนี้สิน' in the taxonomy list. Also, the 'fs_category' value of 'หนี้สิน' aligns with the input metadata.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),หนี้สิน,"[14476666, 16632205]"
20,ทุนจดทะเบียน,310200,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,"The input query 'ทุนจดทะเบียน' closely translates to 'Registered Capital,' which aligns with the concept of 'Issued and Paid-Up Share Capital' represented by the 'ทุนที่ได้รับจากผู้ถือหน่วยลงทุน' item in the taxonomy. Additionally, the input metadata specifies 'fs_category' as 'สินทรัพย์สุทธิ' ('Net Assets'), and the closest matching category in the taxonomy is 'ส่วนของผู้ถือหุ้น' ('Equity'), which further supports this selection.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[31311364, 29213378]"
21,ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์,310200,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,The input name 'ทุนที่ได้รับจากผู้ถือหน่วยทรัสต์' is very similar to the item in taxonomy 'ทุนที่ได้รับจากผู้ถือหน่วยลงทุน' and both have the same fs_category 'ส่วนของผู้ถือหุ้น' which is related to the input metadata fs_category ' สินทรัพย์สุทธิ',งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[33196674, 31118590]"
22,กำไรสะสม,310600,กำไร (ขาดทุน) สะสม,"The input name 'กำไรสะสม' matches the item_in_taxonomy 'กำไร (ขาดทุน) สะสม'.
Even though the fs_category does not match, we can use item_in_taxonomy in this case.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[2626490, 2649517]"
23,สินทรัพย์สุทธิ,299999,สินทรัพย์สุทธิ,The input query 'สินทรัพย์สุทธิ' and financial_statement_type งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ)  directly match with the item_in_taxonomy 'สินทรัพย์สุทธิ' and financial_statement_type 'BS_L' in the taxonomy list. ,งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[35823164, 33768107]"
24,เงินลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า,100500,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,"The query mentions ""เงินลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า"" which directly matches the definition of ""เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม"" in the taxonomy list. Thus, this is the most appropriate match.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์,"[49774824, 49824979]"
25,สินทรัพย์สุทธิต่อหน่วย (บาท),330101,สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย),"The query mentions 'สินทรัพย์สุทธิต่อหน่วย' which directly corresponds to the item 'สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย)' in the taxonomy. Considering the fs_category provided as 'สินทรัพย์สุทธิ' aligns with this item's meaning, it's the best match.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[10.91043, 11.0231]"
26,จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด / ปี (พันหน่วย),330101,สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย),"The INPUT, 'จำนวนหน่วยทรัสต์ที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด / ปี (พันหน่วย)' implies calculating net asset value per unit, which aligns with the closest matching item_in_taxonomy 'สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย)' in the provided taxonomy list. while fs_category is not สินทรัพย์สุทธิ, we will use item_in_taxonomy instead.",งบแสดงฐานะการเงิน (ไม่ได้ตรวจสอบ),สินทรัพย์สุทธิ,"[3283387, 3063387]"
27,รายได้ค่าเช่าและบริการ,410123,รายได้ค่าเช่าและบริการ,"From the Taxonomy list,  SET Code 410123 with item รายได้ค่าเช่าและบริการ has fs_category as กำไรขาดทุน which is related to the input metadata fs_category รายได้. ",งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ) สำหรับงวดสามเดือนสิ้นสุดวันที่,รายได้,"[979130, 930683.0]"
28,รายได้ดอกเบี้ย,410108,รายได้จากเงินลงทุน รายได้ดอกเบี้ย,"The query ""รายได้ดอกเบี้ย"" matches the meaning and item name in the taxonomy list related to interest income from investments. Also, the fs_category of both input and matched item are both related to รายได้.",งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ) สำหรับงวดสามเดือนสิ้นสุดวันที่,รายได้,"[1024, 882.0]"
29,รายได้จากการรับประกันการมีผู้เช่า,410124,รายได้จากเงินลงทุน รายได้จากการประกันผลกำไร และ/หรือ รายได้สุทธิ,"The meaning of taxonomy of รายได้จากเงินลงทุน รายได้จากการประกันผลกำไร และ/หรือ รายได้สุทธิ explains that this item represents income from guarantee of profit and/or net income received by the fund, which is similar to the input query. And the input metadata financial_statement_type งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ) สำหรับงวดสามเดือนสิ้นสุดวันที่ matches the taxonomy.",งบกำไรขาดทุนเบ็ดเสร็จ (ไม่ได้ตรวจสอบ) สำหรับงวดสามเดือนสิ้นสุดวันที่,รายได้,"[4627, 4773.0]"
