,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The input matches exactly with item_in_taxonomy เงินสดและรายการเทียบเท่าเงินสด in the Taxonomy list. Thus, the SET Code should be 110100.",งบฐานะการเงิน,สินทรัพย์,"[76220.0, 88675.0, -2706.0, 75770.0]"
1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,"The query matches the item 'ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ' in the taxonomy list. Also, the fs_category of both query and the select item are matched. Therefore, the set_code should be 112000.",งบฐานะการเงิน,สินทรัพย์,"[143007.0, 115235.0, 142529.0]"
2,เงินให้กู้ยืมระยะสั้น,112300,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ,"The input query 'เงินให้กู้ยืมระยะสั้น' directly matches multiple item names in the taxonomy list. However, considering the input metadata 'fs_category' is 'สินทรัพย์', the most relevant item is 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ' under the category 'สินทรัพย์หมุนเวียน'.",งบฐานะการเงิน,สินทรัพย์,"[0.0, 4419.0, 0.0]"
3,สินค้าคงเหลือ,112900,สินค้าคงเหลือ - สุทธิ,"The input query สินค้าคงเหลือ matches the closest with สินค้าคงเหลือ - สุทธิ in the taxonomy list. And the input metadata financial_statement_type งบฐานะการเงิน, fs_category สินทรัพย์ matches the properties financial_statement_type BS_A, fs_category สินทรัพย์หมุนเวียน in the taxonomy list. ",งบฐานะการเงิน,สินทรัพย์,"[196196.0, 232157.0, 0.0, 195817.0]"
4,สินทรัพย์ทางการเงินหมุนเวียนอื่น,113100,สินทรัพย์ทางการเงินหมุนเวียนอื่น,"The input item name matches exactly with  item_in_taxonomy in the Taxonomy list. Thus, the set_code is 113100 and item_in_taxonomy is สินทรัพย์ทางการเงินหมุนเวียนอื่น",งบฐานะการเงิน,สินทรัพย์,"[152696.0, 154262.0, 206086.0, 152696.0]"
5,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,"The query 'สินทรัพย์หมุนเวียนอื่น' directly matches the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field ('สินทรัพย์หมุนเวียน') is related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[39244.0, 42154.0, 39220.0]"
6,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,The query 'รวมสินทรัพย์หมุนเวียน' is a perfect match with the 'item_in_taxonomy' in the Taxonomy list. And the  'fs_category' field  'สินทรัพย์หมุนเวียน' is matched the input metadata 'fs_category' 'สินทรัพย์',งบฐานะการเงิน,สินทรัพย์,"[607363.0, 636902.0, 606032.0]"
7,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,123100,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,"The query 'สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. Thus, the 'set_code' is '123100'.",งบฐานะการเงิน,สินทรัพย์,"[234905.0, 237710.0, 234905.0]"
8,เงินลงทุนในบริษัทย่อย,122710,เงินลงทุนในบริษัทย่อย,"The input item name is  'เงินลงทุนในบริษัทย่อย' and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the most relevant item in the Taxonomy is where financial_statement_type is BS_A, fs_category is สินทรัพย์ไม่หมุนเวียน and item_in_taxonomy is 'เงินลงทุนในบริษัทย่อย'.",งบฐานะการเงิน,สินทรัพย์,"[0.0, 0.0, 11510.0]"
9,เงินให้กู้ยืมแก่บริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query indicates a loan to a related party, aligning with the concept of 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' (Short-Term Loan and Interest Receivables Related Parties). The provided 'fs_category' of 'สินทรัพย์' matches multiple options in the context. However, without information about the loan term (short/long), we default to the broader 'สินทรัพย์หมุนเวียน' (current assets) category, which is more common for general loans. Therefore, the closest match from the taxonomy list is 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' with SET Code '112320'.",งบฐานะการเงิน,สินทรัพย์,"[0.0, 0.0, 4459.0]"
10,อสังหาริมทรัพย์เพื่อการลงทุน,123700,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,"The query 'อสังหาริมทรัพย์เพื่อการลงทุน' directly matches the item 'อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ' in the taxonomy list. This item's fs_category is สินทรัพย์ไม่หมุนเวียน, which is related to the provided fs_category สินทรัพย์ in the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[310107.0, 309261.0, 310107.0]"
11,อาคารและอุปกรณ์,123800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input query ""อาคารและอุปกรณ์"" translates to ""Buildings and Equipment"", which closely matches the meaning of ""Property, Plant, and Equipment.""  The provided context specifies that the financial statement type is ""งบฐานะการเงิน"" meaning ""Statement of Financial Position"" which corresponds to the code ""BS_A"". Therefore, the most relevant SET code is 123800, and the corresponding item in the taxonomy is ""ที่ดิน อาคาร และอุปกรณ์ - สุทธิ"".",งบฐานะการเงิน,สินทรัพย์,"[16235.0, 19932.0, 14870.0]"
12,สินทรัพย์สิทธิการใช้,123900,สินทรัพย์สิทธิการใช้ - สุทธิ,The query 'สินทรัพย์สิทธิการใช้' is an exact match to at least one 'item_in_taxonomy' in the provided taxonomy list.  The other properties of the matching taxonomy item align with the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[27390.0, 21291.0, 24889.0]"
13,สินทรัพย์ไม่มีตัวตนอื่น,124190,สินทรัพย์ไม่มีตัวตน - สุทธิ สินทรัพย์ไม่มีตัวตน - อื่น ๆ,"The query 'สินทรัพย์ไม่มีตัวตนอื่น' is related to other intangible assets, and after reviewing the taxonomy list, the closest match is 'สินทรัพย์ไม่มีตัวตน - สุทธิ สินทรัพย์ไม่มีตัวตน - อื่น ๆ' with set code '124190'.",งบฐานะการเงิน,สินทรัพย์,"[23459.0, 14614.0, 15521.0]"
14,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,124400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,The query 'สินทรัพย์ภาษีเงินได้รอการตัดบัญชี' is an exact match to the 'item_in_taxonomy' in the Taxonomy list.  The 'fs_category' is 'สินทรัพย์ไม่หมุนเวียน' which is related to the input metadata 'fs_category' value 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[22551.0, 25840.0, 22575.0]"
15,สินทรัพย์ไม่หมุนเวียนอื่น,129990,สินทรัพย์ไม่หมุนเวียนอื่น สินทรัพย์ไม่หมุนเวียนอื่น - อื่น ๆ,"The query \""สินทรัพย์ไม่หมุนเวียนอื่น\"" matches the Item in Taxonomy \""สินทรัพย์ไม่หมุนเวียนอื่น สินทรัพย์ไม่หมุนเวียนอื่น - อื่น ๆ\"" with set code \""129990\"" in the Taxonomy list.  The input metadata specified the fs_category as \""สินทรัพย์\"", and the matching item's fs_category is \""สินทรัพย์ไม่หมุนเวียน\"" which is related to the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[3212.0, 3617.0, 3162.0]"
16,รวมสินทรัพย์ไม่หมุนเวียน,129999,รวมสินทรัพย์ไม่หมุนเวียน,Found an exact match for the input query 'รวมสินทรัพย์ไม่หมุนเวียน' in the Taxonomy list.  The fs_category is 'สินทรัพย์ไม่หมุนเวียน' which is related to the input metadata fs_category 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[637859.0, 632265.0, 641998.0]"
17,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The query 'รวมสินทรัพย์' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('สินทรัพย์') is related to the input metadata's 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[1245222.0, 1269167.0, 1248030.0]"
18,เงินกู้ยืมระยะสั้นจากบุคคลที่เกี่ยวข้องกัน,211720,เงินกู้ยืมระยะสั้น บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The query mentions ""short-term loans"" and ""related parties"", which directly matches the item ""เงินกู้ยืมระยะสั้น บุคคลหรือกิจการที่เกี่ยวข้องกัน"" in the taxonomy. The input metadata also specifies the fs_category as ""หนี้สินและส่วนของผู้ถือหุ้น"" and financial_statement_type as ""งบฐานะการเงิน (ต่อ)"", further confirming the match.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[1100, 0, 0]"
19,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,"The input name 'เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น' directly matches the item_in_taxonomy 'เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น' in the taxonomy list. Thus, the set_code 211100 is selected.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[134783, 158018, 131340]"
20,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,The query mentions 'หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี' which directly corresponds to the item 'หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี' in the taxonomy. We also considered the fs_category provided ('หนี้สินและส่วนของผู้ถือหุ้น') and found a matching item within the same taxonomy entry.,งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[4971, 3970, 4030]"
21,ประมาณการหนี้สินหมุนเวียนอื่น,222800,ประมาณการหนี้สินระยะยาว,"The most relevant item from the provided taxonomy list is ""ประมาณการหนี้สินระยะยาว"" with SET Code ""222800"" because the input mentions  'ประมาณการหนี้สิน' and the input metadata specifies the fs_category as 'หนี้สินและส่วนของผู้ถือหุ้น'. Although the input mentions 'หมุนเวียน', there's no suitable match for 'อื่น' within the provided taxonomy for 'หนี้สินหมุนเวียน'. Therefore, we choose the closest match based on the available options.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[7265, 6040, 7264]"
22,รวมหนี้สินหมุนเวียน,219999,รวมหนี้สินหมุนเวียน,"The query 'รวมหนี้สินหมุนเวียน' directly matches the item 'รวมหนี้สินหมุนเวียน' in the taxonomy list.  The fs_category value from the input metadata 'หนี้สินและส่วนของผู้ถือหุ้น' is not directly found in the taxonomy list, so we use the 'item_in_taxonomy' field instead.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[148119, 168028, 142634]"
23,หนี้สินตามสัญญาเช่า,212400,หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The input query \""หนี้สินตามสัญญาเช่า\"" matches both  \""หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี\"" and \""หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี\"". However, the provided fs_category \""หนี้สินและส่วนของผู้ถือหุ้น\"" is a broader category. Therefore, we select the item based on the closest match to the input query.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[12118, 8404, 10329]"
24,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,222700,ประมาณการหนี้สินผลประโยชน์พนักงาน - ไม่หมุนเวียน,"The input name 'ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน' is a variation of 'ประมาณการหนี้สินผลประโยชน์พนักงาน - ไม่หมุนเวียน' in the taxonomy list. Considering the input metadata 'fs_category' is หนี้สินและส่วนของผู้ถือหุ้น,  'ประมาณการหนี้สินผลประโยชน์พนักงาน - ไม่หมุนเวียน' is selected.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[62901, 59545, 62733]"
25,รวมหนี้สินไม่หมุนเวียน,229999,รวมหนี้สินไม่หมุนเวียน,"The query 'รวมหนี้สินไม่หมุนเวียน' is an exact match to an item in the taxonomy list.  The input metadata financial_statement_type งบฐานะการเงิน (ต่อ) maps to BS_L. And the input metadata fs_category is หนี้สินและส่วนของผู้ถือหุ้น, so we can use item_in_taxonomy to match. Thus, the SET code is 229999, and the item is 'รวมหนี้สินไม่หมุนเวียน'.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[75019, 67949, 73062]"
26,รวมหนี้สิน,209999,รวมหนี้สิน,"The query 'รวมหนี้สิน' is an exact match to an item in the taxonomy list.  The input metadata specifies that the fs_category should be related to 'หนี้สินและส่วนของผู้ถือหุ้น' and this item's fs_category is 'หนี้สิน'. Therefore, this is a match.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[223138, 235977, 215696]"
27,"ทุนจดทะเบียน หุ้นสามัญ 80,000,000 หุ้น มูลค่าหุ้นละ 1 บาท",310120,ทุนจดทะเบียน หุ้นสามัญจดทะเบียน,"The input mentions 'ทุนจดทะเบียน หุ้นสามัญ' which closely matches the item 'ทุนจดทะเบียน หุ้นสามัญจดทะเบียน' in the taxonomy.  Also, the input's fs_category 'หนี้สินและส่วนของผู้ถือหุ้น' is related to the taxonomy item's fs_category 'ส่วนของผู้ถือหุ้น'.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[80000, 80000, 80000]"
28,"ทุนที่ออกและชำระแล้ว หุ้นสามัญ 60,000,000 หุ้น มูลค่าหุ้นละ 1 บาท",310220,ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว,"The input explicitly mentions ""ทุนที่ออกและชำระแล้ว"" and ""หุ้นสามัญ"" which directly corresponds to the item ""ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว"" in the taxonomy. We also validate the fs_category, financial_statement_type from the input with the taxonomy list. ",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[60000, 60000, 60000]"
29,ส่วนเกินมูลค่าหุ้น,310400,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,"The query 'ส่วนเกินมูลค่าหุ้น' is related to premium on share capital. 
Even though there is no exact match in the taxonomy list for the input query, the closest item is 'ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น' with set code 310400, which encompasses both premium and discount on share capital.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[36500, 36500, 36500]"
30,ทุนสำรองตามกฎหมาย,310611,กำไรสะสม - จัดสรรแล้ว สำรองตามกฎหมาย,"The query \""ทุนสำรองตามกฎหมาย\"" matches the meaning of taxonomy \""หมายถึง ทุนสำรองที่กันไว้ตามกฎหมาย \"" in the provided taxonomy list. And the fs_category \""ส่วนของผู้ถือหุ้น\"" is matched with the input metadata \""หนี้สินและส่วนของผู้ถือหุ้น\"".",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของผู้ถือหุ้น,"[8260, 8260, 8260]"
