,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,"เงินสดและรายการเทียบเท่าเงินสด 3.3, 5.1, 6.4",100100,เงินสดและรายการเทียบเท่าเงินสด,The INPUT 'เงินสดและรายการเทียบเท่าเงินสด' exists in the Taxonomy list with fs_category 'สินทรัพย์' which is related to the INPUT METADATA fs_category 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[221194042, 260038833, 216166618, 255266661]"
1,รายได้ค่าธรรมเนียมและบริการค้างรับ จากธุรกิจจัดการลงทุน 6.4,101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The INPUT is looking for an item in the taxonomy that represents accrued fee and service income from investment management business, under asset in the balance sheet.  The selected item matches the description and category.",งบฐานะการเงิน,สินทรัพย์,"[144377989, 125646437, 144377989, 125646437]"
2,"เงินลงทุนที่ไม่ได้วางเป็นประกัน 3.4, 5.2, 6.4",101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The query directly matches the item ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" in the taxonomy list. Therefore, the SET code for this item is 101660.",งบฐานะการเงิน,สินทรัพย์,"[870626980, 931956683, 504419355, 566822292]"
3,"เงินลงทุนที่วางเป็นประกัน 3.4, 5.2, 6.1",101670,เงินลงทุนที่วางเป็นประกัน,"The query mentions ""เงินลงทุนที่วางเป็นประกัน"" which directly corresponds to the item ""เงินลงทุนที่วางเป็นประกัน"" in the taxonomy. Both the input metadata and the taxonomy list item share the same fs_category ""สินทรัพย์"".",งบฐานะการเงิน,สินทรัพย์,"[1079200, 1079200, 1079200, 1079200]"
4,"เงินลงทุนในบริษัทย่อย 3.5, 5.3",102610,เงินลงทุนในบริษัทย่อย,"The query mentions ""เงินลงทุนในบริษัทย่อย"" which directly corresponds to the item ""เงินลงทุนในบริษัทย่อย"" in the taxonomy list. This item represents investments in subsidiaries where the company has control, aligning with the query's meaning.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 500074930, 500074930]"
5,"อาคารและอุปกรณ์ 3.6, 5.4",103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input name 'อาคารและอุปกรณ์' is related to property, plant and equipment, and the input metadata specifies financial_statement_type as 'งบฐานะการเงิน' and fs_category as 'สินทรัพย์'.  The closest matching item in the Taxonomy list is 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' with set code '103800', which falls under the 'สินทรัพย์' (assets) category in the balance sheet (BS_A).",งบฐานะการเงิน,สินทรัพย์,"[23555562, 22676780, 23555560, 22676778]"
6,"สินทรัพย์สิทธิการใช้ 3.7, 5.5",103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query explicitly mentions ""สินทรัพย์สิทธิการใช้"" which directly corresponds to the item ""สินทรัพย์สิทธิการใช้ - สุทธิ"" in the taxonomy list. ",งบฐานะการเงิน,สินทรัพย์,"[187338224, 185107798, 187338224, 185107798]"
7,"สินทรัพย์ไม่มีตัวตน 3.8, 5.6",104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The input contains keyword สินทรัพย์ไม่มีตัวตน, and the input metadata specifies financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์. Thus, the most relevant item in the taxonomy is สินทรัพย์ไม่มีตัวตน - สุทธิ with SET Code 104100.",งบฐานะการเงิน,สินทรัพย์,"[18934915, 19539614, 18934913, 19539612]"
8,"สินทรัพย์ภาษีเงินได้รอการตัดบัญชี 3.13, 5.11",104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,The INPUT is สินทรัพย์ภาษีเงินได้รอการตัดบัญชี and  fs_category is สินทรัพย์. Thus the correct Item in Taxonomy is สินทรัพย์ภาษีเงินได้รอตัดบัญชี and SET Code is 104400,งบฐานะการเงิน,สินทรัพย์,"[91787543, 90437240, 63387704, 62281618]"
9,"สินทรัพย์อื่น 5.7, 6.4",109900,สินทรัพย์อื่น - สุทธิ,"The input contains keyword สินทรัพย์อื่น and the input metadata specifies financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์. Thus, the most relevant item in the taxonomy is สินทรัพย์อื่น - สุทธิ with SET Code 109900.",งบฐานะการเงิน,สินทรัพย์,"[47692832, 46973055, 51198636, 56778460]"
