taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100690,100600,False,True,
หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200400,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,หนี้สินทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,200490,200400,False,True,
ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,ตราสารหนี้ที่ออกและเงินกู้ยืม,202090,202000,False,True,
องค์ประกอบอื่นของส่วนของเจ้าของ,319900,องค์ประกอบอื่นของส่วนของเจ้าของ,องค์ประกอบอื่นของส่วนของเจ้าของ,319990,319900,False,True,
รวมส่วนของเจ้าของ,309999,รวมส่วนของเจ้าของ,รวมส่วนของเจ้าของ,309998,309999,False,True,
กำไร(ขาดทุน)สุทธิ,,,กำไร(ขาดทุน)สุทธิ,409991,409999,False,False,"409996-กำไร(ขาดทุน)สุทธิ-กำไร (ขาดทุน) สุทธิ สำหรับงวด-The input name's fs_category is กำไร (ขาดทุน) สุทธิ and financial_statement_type is งบกำไรขาดทุนและกำไรขาดทุนเบ็ดเสร็จอื่น (ไม่ได้ตรวจสอบ) which means the correct item in the Taxonomy should have fs_category related to กำไร (ขาดทุน) สุทธิ and financial_statement_type is PL. Found one item in the Taxonomy list with fs_category กำไรขาดทุน, item_in_taxonomy กำไร (ขาดทุน) สุทธิ สำหรับงวด and set_code 409996.  | "
ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,,,ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,409998,False,False,
ผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,,,ผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,450200,409998,False,False,
กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน(บาท),,,กำไร(ขาดทุน)ต่อหุ้นขั้นพื้นฐาน(บาท),480100,,False,False,
ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,,,ขาดทุนจากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,440100,409998,False,False,
