,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"Found an exact name match for  ""เงินสดและรายการเทียบเท่าเงินสด"" with financial_statement_type as งบฐานะการเงิน and fs_category as สินทรัพย์ in the taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[5256461, 3962372, 237185, 1560574]"
1,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยวิธีราคาทุนตัดจำหน่าย,121630,เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,"The input name mentions Amortised Cost, and it belongs to the asset section in the Balance Sheet. Therefore, the appropriate category is 'Investment in Debt Instruments Measured At Amortised Cost - Net'.",งบฐานะการเงิน,สินทรัพย์,"[530, 529, 0, 0]"
2,ที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,112000,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input mentions ""ที่ถึงกำหนดชำระภายในหนึ่งปี"" (due within one year) and ""สุทธิ"" (net), and the input metadata specifies the financial statement type is balance sheet (งบฐานะการเงิน) and the fs category is asset (สินทรัพย์). Therefore, the most relevant item in the taxonomy is ""ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ"" (Current Portion Of Trade And Loan Receivables - Net).",งบฐานะการเงิน,สินทรัพย์,"[8, 61243019, 59287195, 0, 0]"
3,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกันและดอกเบี้ยค้างรับ,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input name mentions short-term loans and interest receivable to related parties, and the input metadata specifies the financial statement type as งบฐานะการเงิน and fs category as สินทรัพย์. Therefore, the most relevant item in the taxonomy is 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' with SET Code '112320'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 50730996, 43529464]"
4,ที่ถึงกำหนดชำระภายในหนึ่งปี,112420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query mentions ""ที่ถึงกำหนดชำระภายในหนึ่งปี"" which refers to the current portion of a financial item. The input metadata specifies the fs_category as ""สินทรัพย์"" (asset). 

Examining the provided taxonomy list, the most relevant item considering the input query and metadata is ""เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน"" (Current Portion Of Long-Term Loan Receivables Related Parties) with SET Code 112420. This item falls under the ""สินทรัพย์หมุนเวียน"" (current asset) category, aligning with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 3570000, 6562200]"
5,ดอกเบี้ยค้างรับจากเงินให้กู้ยืมระยะยาวแก่กิจการที่เกี่ยวข้องกัน,122420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input name mentions  'ดอกเบี้ยค้างรับ' and 'เงินให้กู้ยืมระยะยาว' and 'กิจการที่เกี่ยวข้องกัน' which is aligned with the meaning of taxonomy in the list. Therefore, the most suitable SET code is 122420 and the item is 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 15212, 27644]"
6,ลูกหนี้อื่น,113130,สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น,"The input 'ลูกหนี้อื่น' is a general term. 
The most relevant item from the Taxonomy list is 'สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น' with set code '113130' because the input metadata specified the fs_category is สินทรัพย์ and financial_statement_type is งบฐานะการเงิน. ",งบฐานะการเงิน,สินทรัพย์,"[3197288, 3081864, 21396, 11673]"
7,ทรัพย์สินรอการขาย - สุทธิ,113500,ทรัพย์สินรอการขาย - สุทธิ,The query 'ทรัพย์สินรอการขาย - สุทธิ' matched directly with item_in_taxonomy in the Taxonomy list. And the value of financial_statement_type from INPUT METADATA matched the value in the Taxonomy list. ,งบฐานะการเงิน,สินทรัพย์,"[1909898, 1650328, 0, 0]"
8,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,"The query 'สินทรัพย์หมุนเวียนอื่น' is an exact match for the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field ('สินทรัพย์หมุนเวียน') is related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[214215, 228019, 1701, 1701]"
9,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,"The query 'รวมสินทรัพย์หมุนเวียน' is a direct match with the 'item_in_taxonomy' in the Taxonomy list. Thus, the 'set_code' is '119999'.",งบฐานะการเงิน,สินทรัพย์,"[71821411, 68210307, 54576490, 51693256]"
