,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,The query 'เงินสด' matches directly with the 'item_in_taxonomy' 'เงินสด' in the taxonomy list.  The 'fs_category' of 'สินทรัพย์' also aligns with the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[925740583, 905364960, 925410582, 904999960]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The query 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' is very similar to the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the provided taxonomy list. Also, the  fs_category matched with the context.",งบฐานะการเงิน,สินทรัพย์,"[7116434326, 7594159441, 6858845108, 7272401446]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query perfectly matches the item_in_taxonomy ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" in the taxonomy list. And the value of financial_statement_type from input metadata is งบฐานะการเงิน, which is equal to BS_A.",งบฐานะการเงิน,สินทรัพย์,"[65183980838, 62089791643, 65183980838, 62089791643]"
3,สินทรัพย์ตราสารอนุพันธ์ทางการเงิน,103000,สินทรัพย์อนุพันธ์,"The INPUT 'สินทรัพย์ตราสารอนุพันธ์ทางการเงิน' is related to derivative financial instruments, which aligns with the meaning of 'สินทรัพย์อนุพันธ์' (Derivative Assets) in the taxonomy list. Therefore, 'สินทรัพย์อนุพันธ์' is the most appropriate match.",งบฐานะการเงิน,สินทรัพย์,"[70430856837, 60285765977, 70430856837, 60285765977]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,Found similar wording between query 'เงินลงทุนสุทธิ' and item in taxonomy 'เงินลงทุน - สุทธิ' where the financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์. ,งบฐานะการเงิน,สินทรัพย์,"[84634546423, 112778907674, 84433189101, 112776907674]"
5,เงินลงทุนในบริษัทย่อยสุทธิ,102710,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย,"The query mentions ""เงินลงทุนในบริษัทย่อยสุทธิ"" which closely matches the meaning of  ""เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในบริษัทย่อย"" in the taxonomy list. Thus, this is the most appropriate match.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 2895420707, 2895420707]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The input query 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ' is very similar to the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list. Thus, the SET code should be '102000'.",งบฐานะการเงิน,สินทรัพย์,"[248417049147, 241101161846, 244601869758, 236437428410]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is very similar to the item 'ทรัพย์สินรอการขาย - สุทธิ' in the taxonomy list. Also, both have the same fs_category 'สินทรัพย์' and financial_statement_type 'BS_A' in the metadata.",งบฐานะการเงิน,สินทรัพย์,"[1434129133, 1386349656, 1074934174, 994476996]"
8,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input name 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is similar to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy list, and the fs_category 'สินทรัพย์' matched the input metadata fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[3388166554, 3469907514, 3248512421, 3320199563]"
9,สินทรัพย์สิทธิการใช้สุทธิ,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้สุทธิ' is a close match to the item 'สินทรัพย์สิทธิการใช้ - สุทธิ' in the provided taxonomy list.  Both terms refer to the same concept, which is the right of a lessee to use an asset for a period of time, net of accumulated depreciation and impairment. Therefore, the SET code '103900' and item 'สินทรัพย์สิทธิการใช้ - สุทธิ' are the most appropriate match for the given query.",งบฐานะการเงิน,สินทรัพย์,"[207832541, 190403853, 181428408, 155584729]"
