taxonomy_account_name,ai_account_code,ai_acc_name,prod_account_name,prod_account_code,prod_parent_account_code,is_match,is_match_parent,unmatch_remark
สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น,119990,119900,False,True,
ลูกหนี้การค้า,,,ลูกหนี้การค้า,122040,122000,False,False,112040-ลูกหนี้การค้า-ลูกหนี้การค้า-The input item name ลูกหนี้การค้า matched with item_in_taxonomy ลูกหนี้การค้า in the Taxonomy list. And the input metadata financial_statement_type งบฐานะการเงิน is matched with financial_statement_type BS_A and fs_category สินทรัพย์ is matched with fs_category สินทรัพย์หมุนเวียน in the Taxonomy list. | 112040-ลูกหนี้การค้า-ลูกหนี้การค้า-Taxonomy list was filtered by financial_statement_type งบฐานะการเงิน and fs_category สินทรัพย์.  The best match from the list is ลูกหนี้การค้า. | 
ลูกหนี้อื่น,,,ลูกหนี้อื่น,123140,123100,False,False,"113130-ลูกหนี้อื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The INPUT 'ลูกหนี้อื่น' matches the meaning_of_taxonomy provided in the Taxonomy list: 'บางครั้งใช้ขื่อว่า ลูกหนี้อื่น หมายถึง ลูกหนี้หมุนเวียนอื่น นอกเหนือจากเลขอ้างอิงที่ 19 22 และ 23'.  Also, the fs_category provided in the Taxonomy list matched the INPUT METADATA. | 113130-ลูกหนี้อื่น-สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น-The INPUT is ลูกหนี้อื่น and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the most relevant item in Taxonomy is สินทรัพย์ทางการเงินหมุนเวียนอื่น ลูกหนี้หมุนเวียนอื่น with SET code 113130 because its fs_category is สินทรัพย์หมุนเวียน and meaning_of_taxonomy is บางครั้งใช้ชื่อว่า ลูกหนี้อื่น. | "
เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,,,เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย,122400,129999,False,False,"122420-เงินให้กู้ยืมระยะยาวแก่บริษัทย่อย-บุคคลหรือกิจการที่เกี่ยวข้องกัน-The query mentions lending to a subsidiary, which falls under the category of related parties. The taxonomy list contains an item 'บุคคลหรือกิจการที่เกี่ยวข้องกัน' under 'สินทรัพย์ไม่หมุนเวียน' which is related to long-term loans to related parties. Therefore, this item best matches the query. | "
สินทรัพย์อนุพันธ์,,,สินทรัพย์อนุพันธ์,123000,129999,False,False,113000-สินทรัพย์อนุพันธ์-สินทรัพย์อนุพันธ์ - หมุนเวียน-The input name สินทรัพย์อนุพันธ์ is matched with the item in taxonomy list with fs_category is สินทรัพย์. | 
สินทรัพย์ไม่หมุนเวียนอื่น,129900,สินทรัพย์ไม่หมุนเวียนอื่น,สินทรัพย์ไม่หมุนเวียนอื่น,129990,129900,False,True,
เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,,,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,219999,False,False,
เจ้าหนี้อื่น,211100,เจ้าหนี้อื่น,เจ้าหนี้อื่น,211160,211100,False,True,
เงินกู้ยืมระยะยาว,,,เงินกู้ยืมระยะยาว,211890,211800,False,False,"221800-เงินกู้ยืมระยะยาว-หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี-The input 'เงินกู้ยืมระยะยาว' matches the meaning of taxonomy in multiple items.  However, considering the fs_category provided as 'หนี้สินและส่วนของผู้ถือหุ้น', the closest match is 'หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี' with SET Code '221800'. | 221890-เงินกู้ยืมระยะยาว-หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - อื่น ๆ-The input query 'เงินกู้ยืมระยะยาว' is related to long-term loans, and the input metadata specifies the financial statement type as 'งบฐานะการเงิน' and fs category as 'หนี้สินและส่วนของผู้ถือหุ้น'. In the provided taxonomy list, the item 'หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - อื่น ๆ' with set code '221890' aligns with the input query and metadata. Therefore, the selected SET code is '221890', and the item in taxonomy is 'หนี้สินระยะยาว - ส่วนที่ถึงกำหนดชำระเกินกว่าหนึ่งปี - อื่น ๆ'. | "
หนี้สินอนุพันธ์,,,หนี้สินอนุพันธ์,212100,219999,False,False,"222100-หนี้สินอนุพันธ์-หนี้สินอนุพันธ์ - ไม่หมุนเวียน-The input is หนี้สินอนุพันธ์ and financial_statement_type is งบฐานะการเงิน. fs_category is หนี้สินและส่วนของผู้ถือหุ้น. 
The most relevant item in Taxonomy list is  หนี้สินอนุพันธ์ - ไม่หมุนเวียน with set_code 222100 | 222100-หนี้สินอนุพันธ์-หนี้สินอนุพันธ์ - ไม่หมุนเวียน-The query 'หนี้สินอนุพันธ์' matches the item 'หนี้สินอนุพันธ์ - ไม่หมุนเวียน' in the taxonomy list. 
The financial_statement_type is 'BS_L' based on input metadata. 
The fs_category is 'หนี้สินไม่หมุนเวียน' which is related to the parent fs_category 'หนี้สินและส่วนของผู้ถือหุ้น' in input metadata. | "
