,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. And the value of 'financial_statement_type' is 'BS_A' which is matched the criteria.,งบฐานะการเงิน,สินทรัพย์,"[179902363, 156187880]"
1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,112000,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,"The query perfectly matches the item ""ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ"" in the taxonomy list. And the  fs_category of  ""ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ"" is สินทรัพย์หมุนเวียน, which is related to the input metadata fs_category: สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์,"[212912074, 174862815]"
2,สินค้าคงเหลือ - สุทธิ,112900,สินค้าคงเหลือ - สุทธิ,"The query 'สินค้าคงเหลือ - สุทธิ' is an exact match for the 'item_in_taxonomy' field in the taxonomy list.  The fs_category field also matches the input metadata. Therefore, the SET Code is '112900'.",งบฐานะการเงิน,สินทรัพย์,"[266023276, 305605650]"
3,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,The query 'สินทรัพย์หมุนเวียนอื่น' is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  The 'fs_category' ('สินทรัพย์หมุนเวียน') is related to the input metadata 'fs_category' ('สินทรัพย์'). The 'financial_statement_type' ('งบฐานะการเงิน') matches the input metadata 'financial_statement_type' ('BS_A').,งบฐานะการเงิน,สินทรัพย์,"[1327515, 2325422]"
4,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,"The query matches the item_in_taxonomy ""รวมสินทรัพย์หมุนเวียน"" in the taxonomy list.  The fs_category ""สินทรัพย์หมุนเวียน"" is related to the input metadata fs_category ""สินทรัพย์"".",งบฐานะการเงิน,สินทรัพย์,"[660165228, 638981767]"
5,เงินลงทุนในบริษัทร่วม,122720,เงินลงทุนในบริษัทร่วม,"The query 'เงินลงทุนในบริษัทร่วม' is about investment in associates. Two items in the taxonomy list match this query. However, only set_code '122720' has  fs_category related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[0, 0]"
6,ที่ดิน อาคารและอุปกรณ์ - สุทธิ,123800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์ - สุทธิ' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. Thus, the SET Code 123800 is selected.",งบฐานะการเงิน,สินทรัพย์,"[458208490, 488501232]"
7,สินทรัพย์สิทธิการใช้ - สุทธิ,123900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้ - สุทธิ' is an exact match to the 'item_in_taxonomy' in the Taxonomy list.  Therefore, the SET code '123900' and 'item_in_taxonomy' 'สินทรัพย์สิทธิการใช้ - สุทธิ' are selected.",งบฐานะการเงิน,สินทรัพย์,"[29595738, 32992230]"
8,สินทรัพย์ไม่มีตัวตน - สุทธิ,124100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The query 'สินทรัพย์ไม่มีตัวตน - สุทธิ' is an exact match for the item 'สินทรัพย์ไม่มีตัวตน - สุทธิ' in the taxonomy list. The fs_category of this item is 'สินทรัพย์ไม่หมุนเวียน', which is related to 'สินทรัพย์' as specified in the instructions. Therefore, the SET Code is '124100'.",งบฐานะการเงิน,สินทรัพย์,"[4541455, 4784747]"
9,สินทรัพย์ภาษีเงินได้รอตัดบัญชี - สุทธิ,124400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query 'สินทรัพย์ภาษีเงินได้รอตัดบัญชี - สุทธิ' is related to Deferred Tax Assets, and the closest match in the taxonomy list is 'สินทรัพย์ภาษีเงินได้รอตัดบัญชี' with SET Code '124400'.",งบฐานะการเงิน,สินทรัพย์,"[30365346, 28649332]"
10,สินทรัพย์ไม่หมุนเวียนอื่น,129990,สินทรัพย์ไม่หมุนเวียนอื่น สินทรัพย์ไม่หมุนเวียนอื่น - อื่น ๆ,Found the exact match for the input query 'สินทรัพย์ไม่หมุนเวียนอื่น' in the Taxonomy list.  The fs_category is 'สินทรัพย์ไม่หมุนเวียน' which is related to 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[1711280, 2206520]"
11,รวมสินทรัพย์ไม่หมุนเวียน,129999,รวมสินทรัพย์ไม่หมุนเวียน,The query 'รวมสินทรัพย์ไม่หมุนเวียน' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  The 'fs_category' is 'สินทรัพย์ไม่หมุนเวียน' which is related to the input metadata 'fs_category'.,งบฐานะการเงิน,สินทรัพย์,"[524422309, 557134061]"
12,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The query 'รวมสินทรัพย์' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list.  Also, the  'fs_category' field value in the Taxonomy list matched with the input metadata 'fs_category'.",งบฐานะการเงิน,สินทรัพย์,"[1184587537, 1196115828]"
13,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,210500,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,"The query mentions short-term loans from financial institutions, which aligns with the definition of 'เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน' in the taxonomy list. This item's fs_category is 'หนี้สินหมุนเวียน', which is related to the input metadata fs_category 'หนี้สินและส่วนของเจ้าของ'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[49965132, 41315982]"
14,เงินกู้ยืมระยะยาวจากสถาบันการเงิน ที่ถึงกำหนดชำระภายในหนึ่งปี,211860,ส่วนของหนี้สินระยะยาวส่วนที่ถึงกำหนดชำระภายในหนึ่งปี สถาบันการเงิน,"The query mentions short-term loans from financial institutions due within one year. Although the input fs_category is หนี้สินและส่วนของเจ้าของ, this information is related to ส่วนของหนี้สินระยะยาวส่วนที่ถึงกำหนดชำระภายในหนึ่งปี สถาบันการเงิน in the taxonomy.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[47160000, 47160000]"
15,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,211100,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,"The input query 'เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น'  is an exact match with the 'item_in_taxonomy' in the Taxonomy list. Thus, we select the corresponding SET Code and Item in Taxonomy.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[99731395, 117444435]"
16,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,212400,หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The query mentions ""หนี้สินตามสัญญาเช่า"" and ""ภายในหนึ่งปี"" which directly corresponds to the item ""หนี้สินตามสัญญาเช่า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี"" in the taxonomy. This item's fs_category is หนี้สินหมุนเวียน, which is related to the input metadata fs_category: หนี้สินและส่วนของเจ้าของ.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[10426462, 10997375]"
17,หนี้สินอนุพันธ์ทางการเงิน,222100,หนี้สินอนุพันธ์ - ไม่หมุนเวียน,"The input 'หนี้สินอนุพันธ์ทางการเงิน' matches both 'หนี้สินอนุพันธ์ - หมุนเวียน' and 'หนี้สินอนุพันธ์ - ไม่หมุนเวียน' in the taxonomy. However, the input metadata specifies 'fs_category' as 'หนี้สินและส่วนของเจ้าของ,' which is a broader category. Therefore, we should use 'item_in_taxonomy' instead of 'fs_category' to determine the best match. Considering the input name broadly refers to financial derivative liabilities, 'หนี้สินอนุพันธ์ - ไม่หมุนเวียน' is chosen as a more suitable option.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[0, 56458]"
