,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The query perfectly matches the item ""เงินสดและรายการเทียบเท่าเงินสด"" in the taxonomy list. And the value of property 'fs_category' in the taxonomy list item matched the input metadata 'fs_category'.",งบฐานะการเงินรวม,สินทรัพย์,"[57215342, 43601784]"
1,เงินลงทุนในตราสารหนี้ระยะสั้น,111630,เงินลงทุนระยะสั้น - สุทธิ เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,"The input mentions ""เงินลงทุนในตราสารหนี้ระยะสั้น"" which refers to short-term debt investments. Although many items in the taxonomy list are related to short-term debt investments, the most relevant item considering the input name is ""เงินลงทุนระยะสั้น - สุทธิ เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ"".",งบฐานะการเงินรวม,สินทรัพย์,"[18328502, 20272343]"
2,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,112000,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,"The query 'ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น' directly matches the 'item_in_taxonomy' field 'ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ' in the taxonomy list. Additionally, the provided 'fs_category' of 'สินทรัพย์' aligns with the broader category of the matched item.",งบฐานะการเงินรวม,สินทรัพย์,"[85464166, 70558763]"
3,เงินให้กู้ยืมระยะสั้น,112300,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ,The input name 'เงินให้กู้ยืมระยะสั้น' matched with taxonomy name 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ' in the context.  The input metadata financial_statement_type is 'งบฐานะการเงินรวม' which matched the taxonomy. And the input metadata fs_category is 'สินทรัพย์' which related to taxonomy.,งบฐานะการเงินรวม,สินทรัพย์,"[126319, 130181]"
4,สินค้าคงเหลือ,112900,สินค้าคงเหลือ - สุทธิ,The query 'สินค้าคงเหลือ' matches the broader term 'สินค้าคงเหลือ - สุทธิ' in the taxonomy list. This broader term accurately reflects the general concept of 'Inventories - Net' without being overly specific. Using the broader term ensures a more comprehensive representation of the query within the context of the provided taxonomy.,งบฐานะการเงินรวม,สินทรัพย์,"[89662728, 80631029]"
5,สินทรัพย์หมุนเวียนอื่น,119900,สินทรัพย์หมุนเวียนอื่น,The input name สินทรัพย์หมุนเวียนอื่น  can be directly matched to the item_in_taxonomy สินทรัพย์หมุนเวียนอื่น in the Taxonomy list. And the input metadata financial_statement_type งบฐานะการเงินรวม can be matched to financial_statement_type BS_A in the Taxonomy list. And the input metadata fs_category สินทรัพย์ is related to fs_category สินทรัพย์หมุนเวียน in the Taxonomy list.,งบฐานะการเงินรวม,สินทรัพย์,"[1357953, 2004395]"
6,สินทรัพย์ไม่หมุนเวียนที่จัดประเภทเป็นสินทรัพย์ที่ถือไว้เพื่อขาย,114700,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,"The input query directly matches the meaning_of_taxonomy field in the provided taxonomy list. Thus, the set_code should be 114700 and the item_in_taxonomy should be สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย.",งบฐานะการเงินรวม,สินทรัพย์,"[41230, 15993]"
7,รวมสินทรัพย์หมุนเวียน,119999,รวมสินทรัพย์หมุนเวียน,"The query 'รวมสินทรัพย์หมุนเวียน' is a financial term and the input metadata specifies that financial_statement_type is งบฐานะการเงินรวม and fs_category is สินทรัพย์. 

We found a match in the Taxonomy list where item_in_taxonomy is 'รวมสินทรัพย์หมุนเวียน' and financial_statement_type is BS_A. ",งบฐานะการเงินรวม,สินทรัพย์,"[252196240, 217214488]"
8,เงินลงทุนในตราสารหนี้,111630,เงินลงทุนระยะสั้น - สุทธิ เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ,"The input query 'เงินลงทุนในตราสารหนี้' matches the item 'เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ' in the taxonomy list. Considering the input metadata 'fs_category' is 'สินทรัพย์', the most relevant taxonomy item is 'เงินลงทุนระยะสั้น - สุทธิ เงินลงทุนในตราสารหนี้ที่วัดมูลค่าด้วยราคาทุนตัดจำหน่าย - สุทธิ' with SET Code '111630'.",งบฐานะการเงินรวม,สินทรัพย์,"[3705071, 6034465]"
9,เงินลงทุนในตราสารทุน,121640,เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน,"The most relevant item from the provided taxonomy list is 'เงินลงทุนในตราสารทุนที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุน' because the input query 'เงินลงทุนในตราสารทุน' matches the core concept of investment in equity instruments. Although the input doesn't specify the measurement method or duration, the taxonomy items are specific about these attributes. Therefore, we select the item that reflects the core concept of the input query.",งบฐานะการเงินรวม,สินทรัพย์,"[17109300, 15341808]"
