,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,"The query directly matches the item ""เงินสดและรายการเทียบเท่าเงินสด"" in the taxonomy list. And the value of financial_statement_type and fs_category are matched.",งบฐานะการเงิน,สินทรัพย์,"[15976995.0, 6221622.0, 4963737.0, 965848.0]"
1,เงินฝากธนาคารสำหรับเงินรับล่วงหน้าจากผู้ถือบัตร,212320,หนี้สินที่เกิดจากสัญญาและค่าเช่ารับล่วงหน้า - หมุนเวียน รายได้รับล่วงหน้า - อื่น ๆ,"The input mentions 'เงินรับล่วงหน้าจากผู้ถือบัตร' and the financial statement type is 'งบฐานะการเงิน' which maps to 'BS'. Although the input mentions 'สินทรัพย์', the most relevant item in the taxonomy is 'หนี้สินที่เกิดจากสัญญาและค่าเช่ารับล่วงหน้า - หมุนเวียน รายได้รับล่วงหน้า - อื่น ๆ' with set code '212320' because it refers to liabilities from contracts with customers where payment is received in advance, aligning with the concept of 'เงินรับล่วงหน้าจากผู้ถือบัตร'. ",งบฐานะการเงิน,สินทรัพย์,"[704354.0, 685894.0, 0.0, 0.0]"
2,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,"The query mentions restricted bank deposits. In the taxonomy list, both 'เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน' and 'เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - ไม่หมุนเวียน' refer to restricted bank deposits. However, without information about the duration of the restriction, it's impossible to definitively determine if it belongs to current or non-current assets. Therefore, we'll use the 'item_in_taxonomy' field as instructed and choose 'เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน' as it closely matches the query.",งบฐานะการเงิน,สินทรัพย์,"[74362.0, 93984.0, 0.0, 0.0]"
3,ลูกหนี้การค้าและลูกหนี้อื่น,112000,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,"Input ลูกหนี้การค้าและลูกหนี้อื่น maps to ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ in the taxonomy list.  The financial_statement_type is BS_A and fs_category is สินทรัพย์หมุนเวียน, which is aligned with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[1375809.0, 1446374.0, 106113.0, 99515.0]"
4,ส่วนของเงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับที่ถึงกำหนดชำระภายในหนึ่งปี,112400,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The input query states that this is about loan and accrued interest receivable due within one year. The input metadata states that the financial statement type is งบฐานะการเงิน and the fs category is สินทรัพย์. Thus, the closest match from the taxonomy list is  'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี' with SET Code '112400'.",งบฐานะการเงิน,สินทรัพย์,"[660553.0, 601581.0, 0.0, 0.0]"
5,ลูกหนี้จากการขายที่ดิน,123140,ลูกหนี้การค้าและลูกหนี้ไม่หมุนเวียนอื่น - สุทธิ ลูกหนี้ไม่หมุนเวียนอื่น,"The input name 'ลูกหนี้จากการขายที่ดิน' is mapped to 'ลูกหนี้การค้าและลูกหนี้ไม่หมุนเวียนอื่น - สุทธิ ลูกหนี้ไม่หมุนเวียนอื่น' based on the keyword 'ลูกหนี้จากการขายสินทรัพย์ถาวร' in the meaning of taxonomy. The provided financial_statement_type is งบฐานะการเงิน, which maps to 'BS_A'.",งบฐานะการเงิน,สินทรัพย์,"[1883136.0, 2358696.0, 1883136.0, 2358696.0]"
6,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ,112110,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ - หมุนเวียน,"The query 'ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ' matches the meaning of taxonomy items related to 'ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ'.
Since the input metadata specifies financial_statement_type as 'งบฐานะการเงิน' and fs_category as 'สินทรัพย์', the most relevant item is 'ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ - หมุนเวียน' with SET Code '112110'.",งบฐานะการเงิน,สินทรัพย์,"[11870181.0, 94827.0, 0.0, 0.0]"
7,ลูกหนี้ที่จะถึงกำหนดชำระในอนาคตภายใต้สัญญากับหน่วยงานของรัฐ,122110,ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ - ไม่หมุนเวียน,"The input mentions  'ลูกหนี้' and 'สัญญากับหน่วยงานของรัฐ' which points to items related to 'ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ' in the taxonomy. Due to the input mentioning payment in the future, it implies a non-current asset, leading to the selection of 'ลูกหนี้ภายใต้สัญญากับหน่วยงานของรัฐ - ไม่หมุนเวียน'.",งบฐานะการเงิน,สินทรัพย์,"[4768351.0, 4768184.0, 0.0, 0.0]"
8,ลูกหนี้ภายใต้สัญญาซื้อขายพร้อมติดตั้งระบบเดินรถ,null,null,"I can not find the appropriate item in taxonomy. Therefore, I return null.",งบฐานะการเงิน,สินทรัพย์,"[4564.0, 23317084.0, 0.0, 0.0]"
9,รายได้ค้างรับ,112400,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,"The most relevant item in the taxonomy list to the input query 'รายได้ค้างรับ' is 'เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี' given the provided context. Although not a perfect match, this selection considers the input metadata where financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์, aligning with the broader category of the input query.",งบฐานะการเงิน,สินทรัพย์,"[220669.0, 240102.0, 27324.0, 18551.0]"
