,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The query ""เงินสด"" matches directly with the 'item_in_taxonomy' ""เงินสด"" in the taxonomy list.  The financial_statement_type is ""BS_A"" which is extracted from the input metadata. ",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[35478716, 40675704, 0, 0]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"INPUT: รายการระหว่างธนาคารและตลาดเงินสุทธิ
financial_statement_type is งบฐานะการเงินรวม, using BS_A
fs_category is สินทรัพย์ (ไม่ได้ตรวจสอบ), using fs_category: สินทรัพย์
This input matches item_in_taxonomy: รายการระหว่างธนาคารและตลาดเงิน - สุทธิ",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[459883199, 436797171, 12661712, 3410933]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรม ผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The user is looking for the right SET Code and Item in Taxonomy for ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรม ผ่านกำไรหรือขาดทุน"" with financial_statement_type is งบฐานะการเงินรวม and fs_category is สินทรัพย์ (ไม่ได้ตรวจสอบ). 
The most relevant item from the Taxonomy list is where financial_statement_type: BS_A, fs_category: สินทรัพย์, and item_in_taxonomy: สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน. Therefore, the correct SET Code is 100600.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[138367442, 92534166, 13633673, 12292301]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input name ""สินทรัพย์อนุพันธ์"" matches directly with the item_in_taxonomy ""สินทรัพย์อนุพันธ์"" in the taxonomy list. And the  fs_category ""สินทรัพย์"" is also a match. Therefore, the set_code should be 103000.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[53733094, 46981694, 40924, 788077]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The input query 'เงินลงทุนสุทธิ' matches the meaning of taxonomy in the provided context. Also, financial_statement_type and fs_category from INPUT METADATA match the context.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[346881082, 386162469, 0, 0]"
5,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,102600,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ,"The input name 'เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ' is a close match to the item 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ' in the taxonomy list. Both refer to investments in subsidiaries, associates, and joint ventures. The taxonomy item's definition confirms that it encompasses investments in all three entities. Therefore, this is the most appropriate match.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[1810075, 1970054, 507448947, 514995206]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The query 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ' is a close match to the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list. The fs_category property of this item is 'สินทรัพย์', which is related to the input metadata 'สินทรัพย์ (ไม่ได้ตรวจสอบ)'.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[2312513705, 2301044123, 145872187, 132731456]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,The query 'ทรัพย์สินรอการขายสุทธิ' is an exact match to the 'item_in_taxonomy' field 'ทรัพย์สินรอการขาย - สุทธิ' in the taxonomy list. financial_statement_type งบฐานะการเงินรวม maps to BS_A.,งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[27011483, 25930818, 0, 0]"
8,อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ,103700,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,"The query ""อสังหาริมทรัพย์เพื่อการลงทุนสุทธิ"" is an exact match to the item ""อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ"" in the provided taxonomy list.  The financial statement type is confirmed to be BS_A and the fs_category is confirmed to be สินทรัพย์ (ไม่ได้ตรวจสอบ).",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[478032, 486264, 0, 0]"
9,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The query 'ที่ดิน อาคารและอุปกรณ์สุทธิ' is a close match to the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the provided taxonomy list. Both terms refer to tangible assets used in a business's operations, net of accumulated depreciation and impairment. Therefore, the SET code '103800' is selected.",งบฐานะการเงินรวม,สินทรัพย์ (ไม่ได้ตรวจสอบ),"[45314686, 45987817, 37971, 42233]"
