,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"Found an exact match for the query ""เงินสด"" in the taxonomy list with financial statement type BS_A and fs_category สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์,"[24662778, 28169604, 22702027, 25127673]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"The input name 'รายการระหว่างธนาคารและตลาดเงินสุทธิ' directly matches the item 'รายการระหว่างธนาคารและตลาดเงิน - สุทธิ' in the taxonomy list. The context also confirms that this item belongs to the 'สินทรัพย์' (assets) category, which aligns with the input metadata. Therefore, the correct SET Code is 100200.",งบฐานะการเงิน,สินทรัพย์,"[524632695, 507974332, 501846916, 489172830]"
2,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100600,สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query perfectly matches the item_in_taxonomy ""สินทรัพย์ทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" in the taxonomy list. And the fs_category also matched the input metadata. Therefore, the SET code is 100600.",งบฐานะการเงิน,สินทรัพย์,"[3345144, 1740461, 2303149, 622531]"
3,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input item name is สินทรัพย์อนุพันธ์ and financial_statement_type is งบฐานะการเงิน, fs_category is สินทรัพย์. Thus, the matched taxonomy item name is สินทรัพย์อนุพันธ์ with set_code 103000",งบฐานะการเงิน,สินทรัพย์,"[37369353, 29055607, 37583142, 29257667]"
4,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The user's query 'เงินลงทุนสุทธิ' directly matches the 'item_in_taxonomy' 'เงินลงทุน - สุทธิ' in the taxonomy list. The other properties also align with the input metadata, making it the most suitable match.",งบฐานะการเงิน,สินทรัพย์,"[137029713, 130538799, 131584335, 125353247]"
5,เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ,102700,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ,"The input query 'เงินลงทุนในบริษัทย่อย บริษัทร่วมและการร่วมค้าสุทธิ' closely matches the item 'เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ' in the taxonomy list. Both terms refer to net investments in subsidiaries, associates, and joint ventures. Although the input query doesn't specify the accounting method, the taxonomy item that includes 'บันทึกด้วยวิธีอื่น' is a broader term and can be applicable.",งบฐานะการเงิน,สินทรัพย์,"[18523849, 17920515, 94779753, 90571525]"
6,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The query 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับสุทธิ' is very similar to the item 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the taxonomy list, and both belong to the same fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[1915425270, 1942699757, 1674012164, 1701804771]"
7,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The input name 'ทรัพย์สินรอการขายสุทธิ' is a close match to the item 'ทรัพย์สินรอการขาย - สุทธิ' in the provided taxonomy list. Both share similar wording and context, making it the most suitable match. Using the input metadata 'financial_statement_type' as 'งบฐานะการเงิน' and 'fs_category' as 'สินทรัพย์' confirms the selection. ",งบฐานะการเงิน,สินทรัพย์,"[5989690, 5555112, 5653587, 5226076]"
8,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input 'ที่ดิน อาคารและอุปกรณ์สุทธิ' combined with the fs_category 'สินทรัพย์' from the input metadata,  directly matches the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the provided taxonomy list. Therefore, the corresponding set_code is '103800'.",งบฐานะการเงิน,สินทรัพย์,"[36806308, 36327764, 31764154, 31764854]"
9,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,"The query 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ' is an exact match to the 'item_in_taxonomy' field 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ' in the taxonomy list, and the 'fs_category' field 'สินทรัพย์' matches the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[32995142, 31540062, 4253624, 3765833]"
10,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query matches the item_in_taxonomy ""สินทรัพย์ภาษีเงินได้รอตัดบัญชี"" in the taxonomy list.  The fs_category also matches the provided input metadata.",งบฐานะการเงิน,สินทรัพย์,"[5983068, 6086001, 468938, 284909]"
11,สินทรัพย์อื่นสุทธิ,109900,สินทรัพย์อื่น - สุทธิ,The query 'สินทรัพย์อื่นสุทธิ' directly matches the meaning of the taxonomy item 'สินทรัพย์อื่น - สุทธิ' in the provided context. This taxonomy item also aligns with the financial statement type 'งบฐานะการเงิน' and fs_category 'สินทรัพย์' specified in the input metadata.,งบฐานะการเงิน,สินทรัพย์,"[30014802, 30686880, 20926563, 21919045]"
12,เงินรับฝาก,200100,เงินรับฝาก,"The query 'เงินรับฝาก' is a type of liabilities, and the context includes an item 'เงินรับฝาก' under the fs_category 'หนี้สิน' in the taxonomy list. Thus, the correct SET Code is '200100'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[1916387708, 1839601001, 1888681363, 1815718538]"
13,รายการระหว่างธนาคารและตลาดเงิน,200200,รายการระหว่างธนาคารและตลาดเงิน,"The input name 'รายการระหว่างธนาคารและตลาดเงิน' matches exactly with the item 'รายการระหว่างธนาคารและตลาดเงิน' in the taxonomy list. Considering the input financial_statement_type is งบฐานะการเงิน,  and fs_category is หนี้สินและส่วนของเจ้าของ, the most relevant taxonomy item is 'รายการระหว่างธนาคารและตลาดเงิน' with set code '200200' under financial statement type 'BS_L'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[232843043, 323995537, 188409496, 271279782]"
14,หนี้สินจ่ายคืนเมื่อทวงถาม,200300,หนี้สินจ่ายคืนเมื่อทวงถาม,The query 'หนี้สินจ่ายคืนเมื่อทวงถาม' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. And the  'fs_category' field in the Taxonomy list item also matched the 'fs_category' from the input metadata.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[5512565, 4387336, 5512557, 4382140]"
15,หนี้สินอนุพันธ์,202100,หนี้สินอนุพันธ์,"The query \""หนี้สินอนุพันธ์\"" in INPUT directly matches the \""item_in_taxonomy\"" in the Taxonomy list. And the \""fs_category\"" in the Taxonomy list is \""หนี้สิน\"" which is related to \""หนี้สินและส่วนของเจ้าของ\"" in INPUT METADATA. Thus, the SET Code is 202100 and Item in Taxonomy is \""หนี้สินอนุพันธ์\"".",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[31354377, 32838856, 31755340, 33097354]"
16,ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,"The query perfectly matches the item ""ตราสารหนี้ที่ออกและเงินกู้ยืม"" in the taxonomy list. Considering the provided fs_category 'หนี้สินและส่วนของเจ้าของ',  the most relevant set_code from the matching taxonomy items is '202000'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[107602308, 104217056, 79586713, 78233476]"
17,ประมาณการหนี้สิน,202800,ประมาณการหนี้สิน,"The query directly matches the item ""ประมาณการหนี้สิน"" in the taxonomy list. Also, the  fs_category in the taxonomy list item matched the fs_category from the INPUT METADATA.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[12614480, 12212832, 9937545, 9662295]"
18,หนี้สินภาษีเงินได้รอตัดบัญชี,203200,หนี้สินภาษีเงินได้รอตัดบัญชี,The query 'หนี้สินภาษีเงินได้รอตัดบัญชี' directly matches the item 'หนี้สินภาษีเงินได้รอตัดบัญชี' in the Taxonomy list.  The fs_category of the selected item is 'หนี้สิน' which is related to the input metadata fs_category 'หนี้สินและส่วนของเจ้าของ'.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[1188786, 1304064, 0, 0]"
19,หนี้สินอื่น,209900,หนี้สินอื่น,"The query 'หนี้สินอื่น' is an exact match for the 'item_in_taxonomy' field in the taxonomy list.  Also, the 'fs_category' field in the taxonomy list matches the 'fs_category' provided in the input metadata. Therefore, the correct SET Code and Item in Taxonomy are '209900' and 'หนี้สินอื่น' respectively.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[79035859, 78284538, 48922977, 46664543]"
20,รวมหนี้สิน,209999,รวมหนี้สิน,"The query 'รวมหนี้สิน' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  The 'fs_category' field in the Taxonomy list is 'หนี้สิน', which is related to the 'fs_category' provided in the input metadata 'หนี้สินและส่วนของเจ้าของ'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[2386539126, 2396841220, 2252805991, 2259038128]"
21,"ทุนจดทะเบียนหุ้นสามัญ  7,574,143,747 หุ้นมูลค่าหุ้นละ 10 บาท",310120,ทุนจดทะเบียน หุ้นสามัญจดทะเบียน,"The input query explicitly mentions ""ทุนจดทะเบียนหุ้นสามัญ"" (Authorized ordinary share capital) and the context's fs_category confirms it belongs to ""ส่วนของผู้ถือหุ้น"" (Shareholders' equity). Therefore, the most relevant item in the taxonomy is ""ทุนจดทะเบียน หุ้นสามัญจดทะเบียน"" (Authorised Share Capital Authorised Ordinary Shares) with SET Code 310120.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[75741437, 75741437, 75741437, 75741437]"
22,"ทุนที่ออกและชำระแล้วหุ้นสามัญ 7,355,761,773 หุ้นมูลค่าหุ้นละ 10 บาท",310220,ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว,"The query mentions both ""ทุนที่ออกและชำระแล้ว"" and ""หุ้นสามัญ"" which directly corresponds to the item ""ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว"" in the taxonomy. ",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[73557618, 73557618, 73557618, 73557618]"
23,ส่วนเกินมูลค่าหุ้นสามัญ,310420,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้นสามัญ,"The query mentions ""ส่วนเกินมูลค่าหุ้นสามัญ"" which directly corresponds to the item ""ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้นสามัญ"" in the taxonomy. Although the fs_category does not match, we can use item_in_taxonomy in this case.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[52878749, 52878749, 52878749, 52878749]"
24,องค์ประกอบอื่นของส่วนของเจ้าของ,319900,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,Found item_in_taxonomy matching the query in the Taxonomy list.  The value of property fs_category in the correct Taxonomy list item is related to หนี้สินและส่วนของเจ้าของ.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ,"[5750692, 3678725, 6094560, 5697899]"
