,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,"เงินสดและรายการเทียบเท่าเงินสด 3.3, 5.1, 6.4",100100,เงินสดและรายการเทียบเท่าเงินสด,The query's name 'เงินสดและรายการเทียบเท่าเงินสด' directly matches the item_in_taxonomy 'เงินสดและรายการเทียบเท่าเงินสด' in the Taxonomy list. And the value of property 'fs_category' in the Taxonomy list item is 'สินทรัพย์' which is related to the input metadata 'fs_category' value: 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[221194042, 260038833, 216166618, 255266661]"
1,รายได้ค่าธรรมเนียมและบริการค้างรับ จากธุรกิจจัดการลงทุน 6.4,101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The query ""รายได้ค่าธรรมเนียมและบริการค้างรับ จากธุรกิจจัดการลงทุน 6.4"" is mapped to the item_in_taxonomy ""รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน"" because the query explicitly mentions the exact term in the taxonomy. This item belongs to the financial statement type BS_A and has the SET code 101100.",งบฐานะการเงิน,สินทรัพย์,"[144377989, 125646437, 144377989, 125646437]"
2,"เงินลงทุนที่ไม่ได้วางเป็นประกัน 3.4, 5.2, 6.4",101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The query mentions ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" which directly matches the item ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" in the taxonomy list. The  financial_statement_type is extracted from the INPUT METADATA where financial_statement_type is งบฐานะการเงิน, which means Balance Sheet and fs_category is สินทรัพย์, which means asset. Thus, the financial_statement_type should be BS_A.",งบฐานะการเงิน,สินทรัพย์,"[870626980, 931956683, 504419355, 566822292]"
3,"เงินลงทุนที่วางเป็นประกัน 3.4, 5.2, 6.1",101670,เงินลงทุนที่วางเป็นประกัน,"The query 'เงินลงทุนที่วางเป็นประกัน' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. The fs_category is สินทรัพย์, which matches the INPUT METADATA. Thus, the correct SET Code is 101670.",งบฐานะการเงิน,สินทรัพย์,"[1079200, 1079200, 1079200, 1079200]"
4,"เงินลงทุนในบริษัทย่อย 3.5, 5.3",102610,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ เงินลงทุนในบริษัทย่อย,"The query mentions ""เงินลงทุนในบริษัทย่อย"" which directly corresponds to the item ""เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกโดยวิธีส่วนได้เสีย - สุทธิ เงินลงทุนในบริษัทย่อย"" in the taxonomy list. Thus, this item is the most appropriate match.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 500074930, 500074930]"
5,"อาคารและอุปกรณ์ 3.6, 5.4",103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The INPUT, ""อาคารและอุปกรณ์"", maps to ""Property, Plant And Equipment - Net"" based on the Taxonomy List. The INPUT METADATA's financial_statement_type is ""งบฐานะการเงิน"" which maps to financial_statement_type ""BS_A"" and fs_category is ""สินทรัพย์"" which maps to fs_category ""สินทรัพย์"". Thus, the SET Code should be 103800.",งบฐานะการเงิน,สินทรัพย์,"[23555562, 22676780, 23555560, 22676778]"
6,"สินทรัพย์สิทธิการใช้ 3.7, 5.5",103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The INPUT contains the term สินทรัพย์สิทธิการใช้,  and the INPUT METADATA specifies financial_statement_type is งบฐานะการเงิน and fs_category is สินทรัพย์. Thus, the most relevant item in the Taxonomy list is สินทรัพย์สิทธิการใช้ - สุทธิ with SET Code 103900. ",งบฐานะการเงิน,สินทรัพย์,"[187338224, 185107798, 187338224, 185107798]"
7,"สินทรัพย์ไม่มีตัวตน 3.8, 5.6",104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The query mentions ""สินทรัพย์ไม่มีตัวตน"" which directly corresponds to multiple matching items in the taxonomy list.  The most relevant item is chosen based on the fs_category filter being สินทรัพย์ and financial_statement_type being BS_A.",งบฐานะการเงิน,สินทรัพย์,"[18934915, 19539614, 18934913, 19539612]"
8,"สินทรัพย์ภาษีเงินได้รอการตัดบัญชี 3.13, 5.11",104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query 'สินทรัพย์ภาษีเงินได้รอการตัดบัญชี' is a perfect match to the 'item_in_taxonomy' in the Taxonomy list.  Also, the input metadata 'fs_category' is สินทรัพย์ which is related to the 'fs_category' in the Taxonomy list. Therefore, the correct SET Code is 104400.",งบฐานะการเงิน,สินทรัพย์,"[91787543, 90437240, 63387704, 62281618]"
9,"สินทรัพย์อื่น 5.7, 6.4",109900,สินทรัพย์อื่น - สุทธิ,The INPUT  'สินทรัพย์อื่น' matches the closest meaning to 'สินทรัพย์อื่น - สุทธิ' in the Taxonomy list. And the value of property 'fs_category' in the Taxonomy list item is 'สินทรัพย์' that is related to the input metadata 'fs_category' with value 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[47692832, 46973055, 51198636, 56778460]"
10,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The query 'รวมสินทรัพย์' is an exact match with the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field in the Taxonomy list matches the 'fs_category' from the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[1606587287, 1683455640, 1710533129, 1795273786]"
11,"หนี้สินตามสัญญาเช่า 3.7, 5.8, 6.4",202400,หนี้สินตามสัญญาเช่า,"The query \""หนี้สินตามสัญญาเช่า\"" in financial statement type งบฐานะการเงิน(BS_L) and fs_category is หนี้สิน can be matched to multiple items in the taxonomy.  The best match is selected based on the highest similarity score.",งบฐานะการเงิน,หนี้สิน,"[191855315, 187708428, 191855315, 187708428]"
12,"ภาษีเงินได้ค้างจ่าย 3.13, 5.16",203000,ภาษีเงินได้นิติบุคคลค้างจ่าย,"The input mentions  'ภาษีเงินได้ค้างจ่าย' and the financial statement type is balance sheet (งบฐานะการเงิน) with fs category is liabilities (หนี้สิน), suggesting a payable amount. Therefore, 'ภาษีเงินได้นิติบุคคลค้างจ่าย' is the most appropriate match.",งบฐานะการเงิน,หนี้สิน,"[8941669, 5120518, 7717893, 3940648]"
13,"ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน 3.14, 5.9",202700,ประมาณการหนี้สินผลประโยชน์พนักงาน,"The query mentions ""ประมาณการหนี้สิน"" and ""ผลประโยชน์พนักงาน"" which directly corresponds to the item ""ประมาณการหนี้สินผลประโยชน์พนักงาน"" in the taxonomy list.  The fs_category also matches the input metadata.",งบฐานะการเงิน,หนี้สิน,"[121092916, 119878735, 121092916, 119878735]"
14,"ประมาณการหนี้สิน 3.9, 3.10, 5.10",202800,ประมาณการหนี้สิน,"The input explicitly mentions ""ประมาณการหนี้สิน"" which directly corresponds to the item ""ประมาณการหนี้สิน"" in the provided taxonomy list. Therefore, the most relevant match is ""ประมาณการหนี้สิน"" with SET Code 202800.",งบฐานะการเงิน,หนี้สิน,"[1999167, 1998149, 1999167, 1998149]"
15,ค่าใช้จ่ายค้างจ่าย 6.4,202500,ค่าใช้จ่ายค้างจ่าย,"The input query 'ค่าใช้จ่ายค้างจ่าย'  is an exact match with the 'item_in_taxonomy' in the Taxonomy list.  Also, the input metadata financial_statement_type งบฐานะการเงิน is BS_L and fs_category is หนี้สิน  match with the Taxonomy list. Therefore, the correct SET Code is 202500 and Item in Taxonomy is ค่าใช้จ่ายค้างจ่าย",งบฐานะการเงิน,หนี้สิน,"[108981152, 131521737, 108916117, 131418852]"
