,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query perfectly matches the item ""เงินสดและรายการเทียบเท่าเงินสด"" in the taxonomy list. And the value of property 'fs_category' is related to 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[507677456, 906044056, 128745806, 129657897]"
1,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,100700,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,"The query 'หลักทรัพย์ซื้อโดยมีสัญญาขายคืน' is an exact match to the 'item_in_taxonomy' field in the provided taxonomy list.  The 'financial_statement_type' is 'BS_A' which corresponds to the input metadata 'งบฐานะการเงิน' and 'fs_category' is 'สินทรัพย์'. Therefore, the SET code is '100700'.",งบฐานะการเงิน,สินทรัพย์,"[2490000000, 7347183770, 2490000000, 7347183770]"
2,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,100900,ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,"The query 'ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์' in financial report is an exact match to the 'ลูกหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์' (Receivables From Clearing House And Brokers) in the taxonomy list, and the fs_category 'สินทรัพย์' matched the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[134376416, 968106808, 134376416, 968106808]"
3,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,101000,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,"The query 'ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า' is an exact match to the 'item_in_taxonomy' field in the taxonomy list, and the 'fs_category' field ('สินทรัพย์') is related to the input metadata 'fs_category' ('สินทรัพย์').",งบฐานะการเงิน,สินทรัพย์,"[6476997590, 6999163128, 6476997590, 6999163128]"
4,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,101100,รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน,"The input item matches the item_in_taxonomy field in the taxonomy list, and other properties also match. Thus, the set_code 101100 and item_in_taxonomy รายได้ค่าธรรมเนียมและบริการค้างรับจากธุรกิจจัดการลงทุน are selected.",งบฐานะการเงิน,สินทรัพย์,"[113944261, 136658136, 0, 0]"
5,สินทรัพย์อนุพันธ์,103000,สินทรัพย์อนุพันธ์,"The input query directly matches the item ""สินทรัพย์อนุพันธ์"" in the taxonomy list. The financial statement type is confirmed to be BS_A based on input metadata. Therefore, the correct SET code is 103000.",งบฐานะการเงิน,สินทรัพย์,"[120281244, 153795749, 120281244, 153795749]"
6,เงินลงทุนที่ไม่ได้วางเป็นประกัน,101660,เงินลงทุนที่ไม่ได้วางเป็นประกัน,"The input query matches the item_in_taxonomy ""เงินลงทุนที่ไม่ได้วางเป็นประกัน"" in the taxonomy list. Therefore, the SET Code should be 101660.",งบฐานะการเงิน,สินทรัพย์,"[4622595129, 4675098579, 4076812085, 4441306658]"
7,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101671,เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,"The query perfectly matches the item ""เงินลงทุนที่วางเป็นประกันและไม่ได้ให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง"" in the taxonomy list. Both the query and the taxonomy item refer to investments pledged as collateral that cannot be sold or repledged by the transferee. Thus, this is the correct match.",งบฐานะการเงิน,สินทรัพย์,"[8872519, 8896529, 0, 0]"
8,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,101672,เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง,"The input item matches  item_in_taxonomy \""เงินลงทุนที่วางเป็นประกันและให้สิทธิผู้รับโอนขายหรือวางประกันอีกทอดหนึ่ง\"" in the taxonomy list. And the input metadata financial_statement_type is งบฐานะการเงิน,  fs_category is สินทรัพย์ also match the taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[588772883, 978329214, 588772883, 978329214]"
9,เงินลงทุนในบริษัทย่อย,102710,เงินลงทุนในบริษัทย่อย,"The input query 'เงินลงทุนในบริษัทย่อย' matches exactly with 'item_in_taxonomy' in the Taxonomy list. Also, financial_statement_type and fs_category matched with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 3258046935, 3163086322]"
10,ที่ดิน อาคาร และอุปกรณ์,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,"The input matches the item ""ที่ดิน อาคาร และอุปกรณ์ - สุทธิ"" in the taxonomy list. Also, the fs_category of the input and the selected item are both ""สินทรัพย์"". Thus, the set code is ""103800"".",งบฐานะการเงิน,สินทรัพย์,"[264870817, 207258192, 256242501, 198516439]"
11,สินทรัพย์สิทธิการใช้,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้' is an exact match to part of the 'item_in_taxonomy' field in the Taxonomy list, and other metadata like fs_category and financial_statement_type also match.",งบฐานะการเงิน,สินทรัพย์,"[772035250, 721925849, 737976545, 676856287]"
12,สินทรัพย์ไม่มีตัวตน,104100,สินทรัพย์ไม่มีตัวตน - สุทธิ,"The query 'สินทรัพย์ไม่มีตัวตน' is an exact match to the 'สินทรัพย์ไม่มีตัวตน - สุทธิ' in the Taxonomy list. And the value of 'fs_category' matched the criteria from the user request, both are 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[47627976, 52308158, 26548215, 29710339]"
13,ค่าความนิยม,104200,ค่าความนิยม - สุทธิ,The query 'ค่าความนิยม' is an exact match to the 'item_in_taxonomy' 'ค่าความนิยม - สุทธิ' in the taxonomy list. And the value of 'fs_category' in the taxonomy list item matched the 'fs_category' from the INPUT METADATA.,งบฐานะการเงิน,สินทรัพย์,"[26713599, 26713599, 0, 0]"
14,ทรัพย์สินรอการขาย,104700,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,"The meaning of taxonomy ""บางครั้งใช้ชื่อว่า ทรัพย์สินรอการขาย หรือ สินทรัพย์ที่ถือไว้เพื่อขาย"" clearly matches the input query. And the input metadata financial_statement_type งบฐานะการเงิน is mapped to BS_A and fs_category สินทรัพย์ is also matched.",งบฐานะการเงิน,สินทรัพย์,"[6416155, 6416155, 6416155, 6416155]"
15,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query 'สินทรัพย์ภาษีเงินได้รอการตัดบัญชี' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. The 'fs_category' ('สินทรัพย์') also aligns with the INPUT METADATA. Therefore, the correct SET Code is '104400'.",งบฐานะการเงิน,สินทรัพย์,"[179103695, 67404297, 165807953, 55041121]"
16,สินทรัพย์อื่น,109900,สินทรัพย์อื่น - สุทธิ,The query 'สินทรัพย์อื่น' is a general term for assets not categorized elsewhere in the financial statements. The taxonomy item 'สินทรัพย์อื่น - สุทธิ' (Other Assets - Net) best represents this general category and aligns with the provided 'fs_category' of 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[406724460, 438379313, 378810999, 414058369]"
17,เงินกู้ยืมจากสถาบันการเงิน,201900,เงินกู้ยืมจากสถาบันการเงิน,The query 'เงินกู้ยืมจากสถาบันการเงิน' is a direct match to the item 'เงินกู้ยืมจากสถาบันการเงิน' in the provided taxonomy list.  The fs_category 'หนี้สิน' also aligns with the input metadata.,งบฐานะการเงิน,หนี้สิน,"[0, 149701740, 0, 149701740]"
18,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,200600,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,"The query 'หลักทรัพย์ขายโดยมีสัญญาซื้อคืน' is a financial term in Thai, directly translates to 'Securities Sold Under Repurchase Agreements'.

After reviewing the Taxonomy list provided in the context, we found a perfect match for the input query. The item 'หลักทรัพย์ขายโดยมีสัญญาซื้อคืน' with set code '200600' aligns with the input query and its financial statement category, which is Liabilities in this case. 

Therefore, the most appropriate mapping for the input query 'หลักทรัพย์ขายโดยมีสัญญาซื้อคืน' is SET Code '200600' and Item in Taxonomy 'หลักทรัพย์ขายโดยมีสัญญาซื้อคืน'.",งบฐานะการเงิน,หนี้สิน,"[1725000000, 8767183770, 1725000000, 8767183770]"
19,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,200800,เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์,"The query matches the item_in_taxonomy ""เจ้าหนี้สำนักหักบัญชีและบริษัทหลักทรัพย์"" in the taxonomy list, and the fs_category ""หนี้สิน"" is also a match. Therefore, the SET code is 200800.",งบฐานะการเงิน,หนี้สิน,"[812857649, 102594202, 812857649, 102594202]"
20,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,200900,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,"The query 'เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า' is a liability on the balance sheet. The Taxonomy list contains an item with the exact same name and the correct fs_category, so it's a match.",งบฐานะการเงิน,หนี้สิน,"[3222872360, 3743514099, 3222872360, 3743514099]"
21,ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,201000,ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน,The input 'ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน' and financial_statement_type 'งบฐานะการเงิน' was matched with fs_category 'หนี้สิน' in the Taxonomy list.  The set_code '201000' and item_in_taxonomy 'ค่าธรรมเนียมและบริการค้างจ่ายจากธุรกิจจัดการลงทุน' from the matched item were extracted.,งบฐานะการเงิน,หนี้สิน,"[26301056, 28330737, 0, 0]"
