,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสดและรายการเทียบเท่าเงินสด,110100,เงินสดและรายการเทียบเท่าเงินสด,The input matches the item_in_taxonomy 'เงินสดและรายการเทียบเท่าเงินสด' directly. And the value of property 'fs_category' in the Taxonomy list item is also related to 'สินทรัพย์'.,งบฐานะการเงิน,สินทรัพย์,"[507098, 1786107, 340111, 1501939]"
1,เงินฝากธนาคารที่มีข้อจำกัดในการใช้,110300,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน,"The input name 'เงินฝากธนาคารที่มีข้อจำกัดในการใช้' matches the meaning of taxonomy in the list 'บางครั้งใช้ขื่อว่า เงินฝากธนาคารที่มีข้อจำกัดในการใช้'. Thus, the correct set_code is 110300 and item_in_taxonomy is 'เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้ - หมุนเวียน'.",งบฐานะการเงิน,สินทรัพย์,"[6610, 7313, 0, 0]"
2,ลูกหนี้การค้าและลูกหนี้อื่น,112000,ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ,"The input name 'ลูกหนี้การค้าและลูกหนี้อื่น' is a general name that could be mapped to multiple items in the taxonomy. 
However, considering the input metadata  'fs_category' is 'สินทรัพย์', the most relevant item in the taxonomy is 'ลูกหนี้การค้า และลูกหนี้เงินให้สินเชื่อส่วนที่ถึงกำหนดชำระภายในหนึ่งปี - สุทธิ' with SET Code '112000'.",งบฐานะการเงิน,สินทรัพย์,"[434102, 638485, 40823, 51951]"
3,รายได้ค้างรับ,113200,สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน,"The query 'รายได้ค้างรับ' is a general term and can be mapped to a few taxonomy items. 
However, the provided context indicates that 'financial_statement_type' is 'งบฐานะการเงิน' and 'fs_category' is 'สินทรัพย์'.
Therefore, the most relevant item in the taxonomy is 'สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน' (Contract Assets - Current) as its definition mentions 'บางครั้งใช้ชื่อว่า รายได้ค้างรับ'.",งบฐานะการเงิน,สินทรัพย์,"[28377, 24190, 19723, 17179]"
4,เบี้ยประกันภัยค้างรับ,112040,ลูกหนี้การค้า,The meaning_of_taxonomy indicates that this term can also be referred to as ลูกหนี้การค้าและลูกหนี้อื่น or ลูกหนี้จากสัญญาประกันภัยต่อ,งบฐานะการเงิน,สินทรัพย์,"[67280, 141556, 0, 0]"
5,สินทรัพย์จากการประกันภัยต่อ,119990,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,"The meaning_of_taxonomy of 'สินทรัพย์หมุนเวียนอื่น สินทรัพย์หมุนเวียนอื่น - อื่น ๆ' contains 'บางครั้งใช้ชื่อว่า สินทรัพย์จากการประกันภัยต่อ'. Thus, the query 'สินทรัพย์จากการประกันภัยต่อ' is mapped to 'สินทรัพย์หมุนเวียนอื่น - อื่น ๆ' with set code '119990'.",งบฐานะการเงิน,สินทรัพย์,"[239924, 272928, 0, 0]"
6,ลูกหนี้จากสัญญาประกันภัยต่อ,112040,ลูกหนี้จากสัญญาประกันภัยต่อ,"The input name 'ลูกหนี้จากสัญญาประกันภัยต่อ' was found in the meaning_of_taxonomy of the Taxonomy list.  Therefore, the set_code is '112040', and the item_in_taxonomy is 'ลูกหนี้จากสัญญาประกันภัยต่อ'.",งบฐานะการเงิน,สินทรัพย์,"[84462, 76720, 0, 0]"
7,เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี,112050,ลูกหนี้เงินให้สินเชื่อ,The input name 'เงินให้สินเชื่อจากการซื้อลูกหนี้คาดว่าจะได้รับชำระภายในหนึ่งปี' appears in the meaning of taxonomy of 'ลูกหนี้เงินให้สินเชื่อ' with set code '112050'.,งบฐานะการเงิน,สินทรัพย์,"[1071128, 1084990, 738676, 676690]"
8,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,112320,เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The query mentions short-term loans to related parties, which aligns with the definition of 'เงินให้กู้ยืมระยะสั้นและดอกเบี้ยค้างรับ บุคคลหรือกิจการที่เกี่ยวข้องกัน' in the taxonomy list. The financial statement type is BS_A, and the fs_category is สินทรัพย์หมุนเวียน, which is related to the input metadata fs_category สินทรัพย์.",งบฐานะการเงิน,สินทรัพย์,"[0, 0, 12255000, 12628000]"
9,เงินให้กู้ยืมระยะยาวแก่บริษัทที่เกี่ยวข้องกันที่ถึงกำหนดชำระภายในหนึ่งปี,112420,เงินให้กู้ยืมระยะยาวและดอกเบี้ยค้างรับ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี บุคคลหรือกิจการที่เกี่ยวข้องกัน,"The input query explicitly mentions ""เงินให้กู้ยืมระยะยาว"" and ""บริษัทที่เกี่ยวข้องกันที่ถึงกำหนดชำระภายในหนึ่งปี"" which perfectly matches the definition of SET Code 112420.",งบฐานะการเงิน,สินทรัพย์,"[534003, 467489, 534003, 467489]"
