,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The query 'เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน' is an exact match to the 'item_in_taxonomy' in the Taxonomy list. The 'financial_statement_type' is 'BS_A' and 'fs_category' is 'สินทรัพย์', which aligns with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[277700248, 0]"
1,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,100500,เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม,"The query \""เงินลงทุนในอสังหาริมทรัพย์ตามมูลค่ายุติธรรม\"" is an exact match for the \""item_in_taxonomy\"" in the taxonomy list. The financial statement type is BS_A and the set code is 100500.",งบฐานะการเงิน,สินทรัพย์,"[3278377343, 3198129368]"
2,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The input directly matches the item ""เงินสดและรายการเทียบเท่าเงินสด"" in the taxonomy list. And the input metadata financial_statement_type งบฐานะการเงิน is equal to BS_A and fs_category สินทรัพย์ is matched in the taxonomy list.",งบฐานะการเงิน,สินทรัพย์,"[122021407, 387726396]"
3,ลูกหนี้ค่าเช่า - สุทธิ,102081,ลูกหนี้จากการให้เช่าและบริการ ลูกหนี้จากการให้เช่า,"The query mentions ลูกหนี้ค่าเช่า which is similar to ลูกหนี้จากการให้เช่า. Also, the INPUT METADATA specifies the fs_category as สินทรัพย์, and the closest match in the Taxonomy list is ลูกหนี้จากการให้เช่าและบริการ ลูกหนี้จากการให้เช่า with SET Code 102081.",งบฐานะการเงิน,สินทรัพย์,"[11542079, 16941887]"
4,รายได้ค้างรับ,103200,สินทรัพย์ที่เกิดจากสัญญา,"รายได้ค้างรับ in the context of financial statements usually refers to revenue that has been earned but not yet received. This aligns with the definition of 'สินทรัพย์ที่เกิดจากสัญญา' (Contract Assets) in the taxonomy list, which represents the right to receive consideration for goods or services that have been transferred to a customer, but payment is contingent on future performance.",งบฐานะการเงิน,สินทรัพย์,"[15656007, 15567768]"
5,ลูกหนี้อื่น,102090,ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น,"The input query 'ลูกหนี้อื่น' matches the item 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น' in the taxonomy list. This item's fs_category is 'สินทรัพย์', aligning with the input metadata. Therefore, the correct SET Code is 102090, and the item is 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น'.",งบฐานะการเงิน,สินทรัพย์,"[1731442, 920019]"
6,ค่าใช้จ่ายรอการตัดบัญชี,102100,ค่าใช้จ่ายรอการตัดบัญชี,The input item name ค่าใช้จ่ายรอการตัดบัญชี exists in the Taxonomy list with the same name.  The input metadata financial_statement_type งบฐานะการเงิน is aligned with BS_A. And the input metadata fs_category สินทรัพย์ is aligned with the same value in the Taxonomy list.,งบฐานะการเงิน,สินทรัพย์,"[7775682, 7879250]"
7,สินทรัพย์อื่น,109990,สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ,"The closest match from the provided taxonomy list is 'สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ' with set code '109990', as it closely aligns with the input 'สินทรัพย์อื่น' and input metadata fs_category 'สินทรัพย์'.",งบฐานะการเงิน,สินทรัพย์,"[4893621, 2364938]"
8,รวมสินทรัพย์,109999,รวมสินทรัพย์,"The input query's fs_category is รวมสินทรัพย์ and financial_statement_type is งบฐานะการเงิน,  matching the criteria specified in the instructions. Thus, the most relevant SET Code from the provided Taxonomy list is 109999 and the corresponding Item in Taxonomy is รวมสินทรัพย์.",งบฐานะการเงิน,รวมสินทรัพย์,"[3719697829, 3629529626]"
9,เจ้าหนี้อื่น,201160,เจ้าหนี้การค้าและเจ้าหนี้อื่น เจ้าหนี้อื่น,Found the exact match in item_in_taxonomy with fs_category related to หนี้สิน.,งบฐานะการเงิน,หนี้สิน,"[30349685, 26102246]"
