,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,เงินสด,100100,เงินสด,"The query 'เงินสด' matches directly with the 'item_in_taxonomy' 'เงินสด' in the taxonomy list.  Also, the 'fs_category' ('สินทรัพย์') aligns with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[88659.0, 88659.0, 107495.0]"
1,รายการระหว่างธนาคารและตลาดเงินสุทธิ - เงินฝากสถาบันการเงิน,100200,รายการระหว่างธนาคารและตลาดเงิน - สุทธิ,"Taxonomy list item ""รายการระหว่างธนาคารและตลาดเงิน - สุทธิ"" with set code 100200 matched with the query. Because the meaning of taxonomy in this item mentioned  ""บางครั้งใช้ชื่อว่า รายการระหว่างธนาคารและตลาดเงินสุทธิ หรือ รายการระหว่างธนาคารและตลาดเงิน-เงินฝากสถาบันการเงิน"" which is related to the query and financial_statement_type, fs_category also matched.",งบฐานะการเงิน,สินทรัพย์,"[995269.0, 995269.0, 1626245.0]"
2,เงินลงทุนสุทธิ,101600,เงินลงทุน - สุทธิ,"The user provided input as ""เงินลงทุนสุทธิ"" and specified the fs_category is ""สินทรัพย์"". Thus, the most relevant item from the taxonomy list is where set_code is 101600 and item_in_taxonomy is ""เงินลงทุน - สุทธิ"".",งบฐานะการเงิน,สินทรัพย์,"[681907.0, 681907.0, 458950.0]"
3,เงินลงทุนในการร่วมค้า,102730,เงินลงทุนในการร่วมค้า,"Found an exact name match for  ""เงินลงทุนในการร่วมค้า"" with financial_statement_type as ""BS_A"" and fs_category as ""สินทรัพย์"" in the Taxonomy list. ",งบฐานะการเงิน,สินทรัพย์,"[12500.0, 12500.0, 0.0]"
4,เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The INPUT  'เงินให้สินเชื่อจากการซื้อลูกหนี้และดอกเบี้ยค้างรับสุทธิ' has the closest meaning to 'เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ' in the provided Taxonomy list. Also, financial_statement_type and fs_category matched.",งบฐานะการเงิน,สินทรัพย์,"[79518217.0, 79518217.0, 77958811.0]"
5,ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ,102000,เงินให้สินเชื่อแก่ลูกหนี้และดอกเบี้ยค้างรับ - สุทธิ,"The query 'ลูกหนี้ขายผ่อนชำระและดอกเบี้ยค้างรับสุทธิ' closely translates to 'Installment receivables and accrued interest receivable - net' which aligns with the meaning of 'Loans To Customers And Accrued Interest Receivables - Net' in the provided taxonomy list. The taxonomy item with set code '102000' is a broader term encompassing various forms of loans and receivables from customers, including installment receivables.",งบฐานะการเงิน,สินทรัพย์,"[842176.0, 842176.0, 742185.0]"
6,ทรัพย์สินรอการขายสุทธิ,103500,ทรัพย์สินรอการขาย - สุทธิ,"The query 'ทรัพย์สินรอการขายสุทธิ' is an exact match to the 'meaning_of_taxonomy' field in one of the provided Taxonomy list items. 

This strongly suggests that the correct SET Code is 103500 and the corresponding Item in Taxonomy is 'ทรัพย์สินรอการขาย - สุทธิ'.",งบฐานะการเงิน,สินทรัพย์,"[36115618.0, 36115618.0, 34947332.0]"
7,ที่ดิน อาคารและอุปกรณ์สุทธิ,103800,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,The input 'ที่ดิน อาคารและอุปกรณ์สุทธิ' combined with the fs_category 'สินทรัพย์' suggests a match with the item 'ที่ดิน อาคาร และอุปกรณ์ - สุทธิ' in the taxonomy. This is confirmed by the item's meaning in the taxonomy.,งบฐานะการเงิน,สินทรัพย์,"[1138090.0, 1138090.0, 1160763.0]"
8,สินทรัพย์สิทธิการใช้สุทธิ,103900,สินทรัพย์สิทธิการใช้ - สุทธิ,"The query 'สินทรัพย์สิทธิการใช้สุทธิ' is a close match to the item 'สินทรัพย์สิทธิการใช้ - สุทธิ' in the provided taxonomy list.  The taxonomy list item's fs_category is 'สินทรัพย์', which aligns with the input metadata. Therefore, the SET Code '103900' and item 'สินทรัพย์สิทธิการใช้ - สุทธิ' are the most appropriate selections.",งบฐานะการเงิน,สินทรัพย์,"[19244.0, 19244.0, 28787.0]"
9,สินทรัพย์ไม่มีตัวตนสุทธิ,104000,ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ,"The input name 'สินทรัพย์ไม่มีตัวตนสุทธิ' is related to the meaning of taxonomy in the list: 'บางครั้งใช้ชื่อว่า สินทรัพย์ไม่มีตัวตนสุทธิ หรือ ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่นสุทธิ'. Thus, the most relevant 'item_in_taxonomy' is 'ค่าความนิยมและสินทรัพย์ไม่มีตัวตนอื่น - สุทธิ' with SET Code '104000'.",งบฐานะการเงิน,สินทรัพย์,"[188501.0, 188501.0, 187181.0]"
10,สินทรัพย์ภาษีเงินได้รอการตัดบัญชี,104400,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,"The query ""สินทรัพย์ภาษีเงินได้รอการตัดบัญชี"" is an exact match to the meaning_of_taxonomy field in the Taxonomy list. Thus, the set_code is 104400 and the item_in_taxonomy is สินทรัพย์ภาษีเงินได้รอตัดบัญชี. We also confirmed that the fs_category matched with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[5994674.0, 5994674.0, 5970949.0]"
11,เงินรอรับจากการขายทอดตลาดสุทธิ,104900,เงินรอรับจากการขายทอดตลาด,"The input name 'เงินรอรับจากการขายทอดตลาดสุทธิ' is mentioned in the meaning of taxonomy of 'เงินรอรับจากการขายทอดตลาด' in the taxonomy list. Also, financial_statement_type and fs_category matched with the input metadata.",งบฐานะการเงิน,สินทรัพย์,"[13399095.0, 13399095.0, 13156170.0]"
12,เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่น ๆ สุทธิ,109900,สินทรัพย์อื่น - สุทธิ,"The query ""เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่น ๆ สุทธิ"" best matches the taxonomy item ""สินทรัพย์อื่น - สุทธิ"" (Other Assets - Net) with SET Code 109900. This is because the taxonomy's meaning includes  ""เงินทดรองจ่ายค่าธรรมเนียมในการซื้อทรัพย์และอื่นๆสุทธิ"" as an alternative name, directly aligning with the input query. The input metadata also specifies the fs_category as ""สินทรัพย์"" (assets), which aligns with the broader category of the selected taxonomy item.",งบฐานะการเงิน,สินทรัพย์,"[1094466.0, 1094466.0, 858100.0]"
13,สินทรัพย์อื่นสุทธิ,109900,สินทรัพย์อื่น - สุทธิ,The input name 'สินทรัพย์อื่นสุทธิ' is a close match to the item in taxonomy 'สินทรัพย์อื่น - สุทธิ'.  The fs_category information from input metadata 'สินทรัพย์' is also a match with the taxonomy. And the input metadata financial_statement_type งบฐานะการเงิน is correctly mapped to 'BS_A'.,งบฐานะการเงิน,สินทรัพย์,"[145281.0, 145281.0, 111537.0]"
14,ตราสารหนี้ที่ออกและเงินกู้ยืม,202000,ตราสารหนี้ที่ออกและเงินกู้ยืม,The input item name matches exactly with  item in taxonomy ตราสารหนี้ที่ออกและเงินกู้ยืม in the taxonomy list. financial_statement_type งบฐานะการเงิน matches BS_L and fs_category is หนี้สินและส่วนของเจ้าของ หนี้สิน matches the taxonomy list.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[93508960.0, 93508960.0, 90518193.0]"
15,ประมาณการหนี้สิน,202800,ประมาณการหนี้สิน,The query 'ประมาณการหนี้สิน' is a direct match to the 'item_in_taxonomy' field in the taxonomy list. The fs_category field 'หนี้สิน' also aligns with the input metadata 'หนี้สินและส่วนของเจ้าของ หนี้สิน'.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[777103.0, 777103.0, 807768.0]"
16,ดอกเบี้ยค้างจ่าย,null,null,There is no item in the provided taxonomy list that corresponds to the query 'ดอกเบี้ยค้างจ่าย' and fs_category 'หนี้สินและส่วนของเจ้าของ หนี้สิน'.,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[665384.0, 665384.0, 664102.0]"
17,หนี้สินตามสัญญาเช่า,202400,หนี้สินตามสัญญาเช่า,"The query 'หนี้สินตามสัญญาเช่า' is a liability and the financial statement type is BS_L,  and it's fs_category is หนี้สิน,  in the Taxonomy list. Thus, the SET Code should be 202400 and Item in Taxonomy should be 'หนี้สินตามสัญญาเช่า'.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[19801.0, 19801.0, 19387.0]"
18,ภาษีค้างจ่าย,204010,เจ้าหนี้ภาษีค้างจ่าย,"The input 'ภาษีค้างจ่าย' matches the meaning of taxonomy items related to outstanding taxes. Considering the provided 'fs_category' ('หนี้สินและส่วนของเจ้าของ หนี้สิน') and 'financial_statement_type' ('งบฐานะการเงิน'),  'เจ้าหนี้ภาษีค้างจ่าย' under set code '204010' is the most appropriate match.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[547138.0, 547138.0, 596660.0]"
19,ค่าใช้จ่ายค้างจ่าย,209900,หนี้สินอื่น,The INPUT's financial_statement_type งบฐานะการเงิน matches the Taxonomy's financial_statement_type BS_L. The INPUT's fs_category หนี้สินและส่วนของเจ้าของ หนี้สิน matches the Taxonomy's fs_category หนี้สิน. The INPUT ค่าใช้จ่ายค้างจ่าย exists in meaning_of_taxonomy บางครั้งใช้ชื่อว่า เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้ หรือ ด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุนและเงินลงทุน หรือ ดอกเบี้ยค้างจ่าย หรือ ภาษีค้างจ่าย หรือ เงินรับหลักประกันของตราสารอนุพันธ์ หรือ รายได้รับล่วงหน้า หรือ ค่าใช้จ่ายค้างจ่าย,งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[103498.0, 103498.0, 356187.0]"
20,เจ้าหนี้สถาบันการเงินจากการซื้อลูกหนี้,209900,หนี้สินอื่น,"The input keyword appears in the meaning of taxonomy of 'หนี้สินอื่น' with financial_statement_type is BS_L and fs_category is หนี้สิน. Thus, the SET Code should be 209900.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[809466.0, 809466.0, 252078.0]"
21,หนี้สินอื่น,209900,หนี้สินอื่น,"The query 'หนี้สินอื่น' is an exact match for the 'item_in_taxonomy' field in the taxonomy list, and the `fs_category` field in the taxonomy list matched the `fs_category` from the INPUT METADATA.",งบฐานะการเงิน,หนี้สินและส่วนของเจ้าของ หนี้สิน,"[342563.0, 342563.0, 470927.0]"
22,"ทุนที่ออกและชำระแล้ว  หุ้นสามัญ 3,232,042,300 หุ้น มูลค่าหุ้นละ 5 บาท",310220,ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว,"The input mentions ""ทุนที่ออกและชำระแล้ว"" and ""หุ้นสามัญ"" which directly corresponds to the item ""ทุนที่ออกและชำระแล้ว หุ้นสามัญชำระแล้ว"" in the taxonomy. Additionally, the provided fs_category information confirms that this item belongs to the correct category.",งบฐานะการเงิน,"ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท","[16160212.0, 16160212.0, 16160212.0]"
23,ส่วนเกินมูลค่าหุ้น,310420,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้นสามัญ,"The query 'ส่วนเกินมูลค่าหุ้น' is related to the share premium on common stock. Considering the provided context from the financial report, 'ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท,' it refers to the owner's equity section, specifically the common stock with a par value. Therefore, the most relevant item in the taxonomy is 'ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้นสามัญ' with SET Code '310420'.",งบฐานะการเงิน,"ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท","[6044227.0, 6044227.0, 6044227.0]"
24,องค์ประกอบอื่นของส่วนของเจ้าของ - ส่วนเกินทุนจากการเปลี่ยนแปลงมูลค่าเงินลงทุน,319910,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น ส่วนเกิน (ต่ำกว่า) ทุน,"The input mentions ""องค์ประกอบอื่นของส่วนของเจ้าของ"" and ""ส่วนเกินทุน"" which closely match the taxonomy item ""องค์ประกอบอื่นของส่วนของผู้ถือหุ้น ส่วนเกิน (ต่ำกว่า) ทุน"".  The provided fs_category information confirms this is related to equity. Therefore, this is the most appropriate match.",งบฐานะการเงิน,"ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท","[424649.0, 424649.0, 246282.0]"
25,กำไรสะสม  จัดสรรแล้ว - สำรองตามกฎหมาย,310611,สำรองตามกฎหมาย,"The input name 'กำไรสะสม  จัดสรรแล้ว - สำรองตามกฎหมาย' is similar to 'สำรองตามกฎหมาย' and both have financial_statement_type as งบฐานะการเงิน. Thus, the most suitable SET Code and Item in Taxonomy are 310611 and สำรองตามกฎหมาย, respectively.",งบฐานะการเงิน,"ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท","[1622500.0, 1622500.0, 1622500.0]"
26,ยังไม่ได้จัดสรร,310620,กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,"The input name 'ยังไม่ได้จัดสรร' is related to retained earning. Using the input metadata, financial_statement_type งบฐานะการเงิน is mapped to BS_OE. And fs_category  'ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท' is in 'ส่วนของผู้ถือหุ้น' category. Thus, the best match item in taxonomy is กำไร (ขาดทุน) สะสม กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร with set code 310620",งบฐานะการเงิน,"ส่วนของเจ้าของ  ทุนเรือนหุ้น  ทุนจดทะเบียน  หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท","[19208196.0, 19208196.0, 19555982.0]"
27,รวมหนี้สินและส่วนของเจ้าของ,309999,รวมหนี้สินและส่วนของผู้ถือหุ้น,"The input name 'รวมหนี้สินและส่วนของเจ้าของ' with financial_statement_type 'งบฐานะการเงิน' and fs_category 'รวมสินทรัพย์' matches the meaning_of_taxonomy field 'บางครั้งใช้ชื่อว่า รวมหนี้สินและส่วนของเจ้าของ' or 'บางครั้งใช้ขื่อว่า รวมหนี้สินและส่วนของเจ้าของ รวมหนี้สินและส่วนของผู้ถือหุ้น เป็นผลรวมของเลขอ้างอิงที่ 69 และ 108' in the Taxonomy list. Therefore, the extracted SET Code is '309999' and Item in Taxonomy is 'รวมหนี้สินและส่วนของผู้ถือหุ้น'.",งบฐานะการเงิน,รวมสินทรัพย์,"[140233697.0, 140233697.0, 137314505.0]"
28,หนี้สิน,209999,รวมหนี้สิน,The user is looking for the category in the taxonomy list that corresponds to the term 'หนี้สิน' (Liabilities) in the financial report. The most relevant category is 'รวมหนี้สิน' (Total Liabilities) with the set code '209999'. This category aligns with the user's input as it represents the total liabilities section in the financial statement.,งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[96773913.0, 96773913.0, 93685302.0]"
29,ส่วนของเจ้าของ,309998,รวมส่วนของผู้ถือหุ้น,"The input query 'ส่วนของเจ้าของ' is a general term.  The input metadata specified the fs_category as 'หนี้สินและส่วนของเจ้าของ' and financial_statement_type as 'งบฐานะการเงิน (ต่อ)'.  Therefore, the most relevant item in the taxonomy is 'รวมส่วนของผู้ถือหุ้น' with set code '309998'.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[43459784.0, 43459784.0, 43629203.0]"
30,ทุนเรือนหุ้น,310200,ทุนที่ออกและชำระแล้ว,The closest match from the provided taxonomy list is ทุนที่ออกและชำระแล้ว based on the input query ทุนเรือนหุ้น and the fs_category  is หนี้สินและส่วนของเจ้าของ.,งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[16225000.0, 16225000.0, 16225000.0]"
31,ทุนจดทะเบียน,310100,ทุนจดทะเบียน,The query directly matches the item_in_taxonomy 'ทุนจดทะเบียน' in the taxonomy list. And the fs_category matched the input metadata.,งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[16225000.0, 16225000.0, 16225000.0]"
32,"หุ้นสามัญ 3,245,000,000 หุ้น มูลค่าหุ้นละ 5 บาท",310120,ทุนจดทะเบียน หุ้นสามัญจดทะเบียน,"The input mentions 'หุ้นสามัญ' and the par value per share, which suggests it's referring to the authorized share capital. The closest match in the taxonomy list is 'ทุนจดทะเบียน หุ้นสามัญจดทะเบียน' (Authorised Share Capital Authorised Ordinary Shares).",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[16225000.0, 16225000.0, 16225000.0]"
33,ทุนที่ออกและชำระแล้ว,310200,ทุนที่ออกและชำระแล้ว,"The query is ทุนที่ออกและชำระแล้ว, and the input metadata specifies financial_statement_type is งบฐานะการเงิน (ต่อ) and fs_category is หนี้สินและส่วนของเจ้าของ. 

From the Taxonomy list, the item_in_taxonomy ทุนที่ออกและชำระแล้ว with set_code 310200  matches the query and satisfies the input metadata requirements. ",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[16160212.0, 16160212.0, 16160212.0]"
34,"หุ้นสามัญ 3,232,042,300 หุ้น มูลค่าหุ้นละ 5 บาท",310120,หุ้นสามัญจดทะเบียน,"The input mentions 'หุ้นสามัญ' and the context's fs_category matched the input metadata's fs_category. Thus, the selected set code and item in taxonomy are based on the provided context.",งบฐานะการเงิน (ต่อ),หนี้สินและส่วนของเจ้าของ,"[16160212.0, 16160212.0, 16160212.0]"
