,query,set_code,item_in_taxonomy,reasoning,table_name,category,number_values
0,"เงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิตามมูลค่ายุติธรรม  (ราคาทุน: 61,725 ล้านบาท (31 มีนาคม 2567: 61,725 ล้านบาท))",102730,เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในการร่วมค้า,"The input mentions an investment related to a transfer of net income rights, which suggests a joint venture agreement where the fund has rights to the net assets. The input also mentions fair value, aligning with the taxonomy item ""เงินลงทุนในบริษัทย่อย บริษัทร่วม และการร่วมค้า ที่บันทึกด้วยวิธีอื่น - สุทธิ เงินลงทุนในการร่วมค้า"" which refers to investments in joint ventures recorded using methods like fair value.",งบแสดงฐานะการเงิน,สินทรัพย์,"[28320000, 28870000]"
1,"เงินลงทุนในหลักทรัพย์ตามมูลค่ายุติธรรม          (ราคาทุน: 1,036 ล้านบาท (31 มีนาคม 2567: 1,208 ล้านบาท))",100400,เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,"The input mentions an investment in securities at fair value, which aligns with the definition of ""เงินลงทุนที่แสดงด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน"" (Investments At Fair Value Through Profit Or Loss) in the taxonomy list. The taxonomy definition encompasses both debt and equity securities measured at fair value through profit or loss.",งบแสดงฐานะการเงิน,สินทรัพย์,"[1038570, 1210749]"
2,เงินสดและรายการเทียบเท่าเงินสด,100100,เงินสดและรายการเทียบเท่าเงินสด,"The query 'เงินสดและรายการเทียบเท่าเงินสด' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list, and the 'fs_category' field matches the provided 'สินทรัพย์'.",งบแสดงฐานะการเงิน,สินทรัพย์,"[51043, 42596]"
3,ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ,102090,ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น,"The meaning_of_taxonomy of 'ลูกหนี้การค้าและลูกหนี้อื่น - สุทธิ ลูกหนี้อื่น' states 'บางครั้งใช้ขื่อว่า ลูกหนี้จากสัญญาซื้อและโอนสิทธิรายได้สุทธิ'. Thus, this is the best match for the input query.",งบแสดงฐานะการเงิน,สินทรัพย์,"[351858, 269589]"
4,ดอกเบี้ยค้างรับ,102072,ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย,"The input item name is ดอกเบี้ยค้างรับ and the input metadata is financial_statement_type is งบแสดงฐานะการเงิน, fs_category is สินทรัพย์. 
I found a perfect match in the Taxonomy list where financial_statement_type is BS_A, fs_category is สินทรัพย์ and item_in_taxonomy is ลูกหนี้จากเงินปันผลและดอกเบี้ย ลูกหนี้จากดอกเบี้ย",งบแสดงฐานะการเงิน,สินทรัพย์,"[63, 0]"
5,สินทรัพย์อื่น,109990,สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ,The input name 'สินทรัพย์อื่น' matches the taxonomy item 'สินทรัพย์อื่น - สุทธิ สินทรัพย์อื่น - อื่น ๆ' in the provided taxonomy list.  The taxonomy item's fs_category is 'สินทรัพย์' which is related to the input metadata's fs_category 'สินทรัพย์'.,งบแสดงฐานะการเงิน,สินทรัพย์,"[3878, 5779]"
6,รวมสินทรัพย์,109999,รวมสินทรัพย์,The query 'รวมสินทรัพย์' is an exact match with the 'item_in_taxonomy' in the Taxonomy list. The 'fs_category' ('สินทรัพย์') also aligns with the input metadata.,งบแสดงฐานะการเงิน,สินทรัพย์,"[29765351, 30398776]"
7,เจ้าหนี้อื่นและค่าใช้จ่ายค้างจ่าย,202500,ค่าใช้จ่ายค้างจ่าย,The input contains both เจ้าหนี้อื่น and ค่าใช้จ่ายค้างจ่าย.  ค่าใช้จ่ายค้างจ่าย matched directly to the taxonomy list with the same fs_category.,งบแสดงฐานะการเงิน,หนี้สิน,"[11180, 13348]"
8,หนี้สินอื่น,209900,หนี้สินอื่น,"The query matches the item_in_taxonomy ""หนี้สินอื่น"" in the taxonomy list. And the fs_category is หนี้สิน, financial_statement_type is BS_L as specified in the input metadata.",งบแสดงฐานะการเงิน,หนี้สิน,"[1920, 1855]"
9,รวมหนี้สิน,209999,รวมหนี้สิน,The query 'รวมหนี้สิน' is an exact match for the 'item_in_taxonomy' field in the Taxonomy list. The financial statement type is 'BS_L' which matches the input metadata 'financial_statement_type' is 'งบแสดงฐานะการเงิน'.,งบแสดงฐานะการเงิน,หนี้สิน,"[13100, 15203]"
10,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,310200,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,"The query 'ทุนที่ได้รับจากผู้ถือหน่วยลงทุน' is an exact match to the 'item_in_taxonomy' field in the Taxonomy list.  Also, the 'fs_category' field ('ส่วนของผู้ถือหุ้น') is related to the input metadata 'สินทรัพย์สุทธิ'.",งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[47114320, 48156160]"
11,ขาดทุนสะสม,310600,กำไร (ขาดทุน) สะสม,"The input query 'ขาดทุนสะสม' matches with the item 'กำไร (ขาดทุน) สะสม' in the taxonomy list. 
The fs_category of the matched item is 'ส่วนของผู้ถือหุ้น' which is related to input metadata fs_category 'สินทรัพย์สุทธิ'",งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[-17362069, -17772587]"
12,สินทรัพย์สุทธิ,309998,รวมสินทรัพย์สุทธิ,The best match from the taxonomy list is 'รวมสินทรัพย์สุทธิ' with SET Code '309998' because the input FS Category is สินทรัพย์สุทธิ and financial_statement_type is งบแสดงฐานะการเงิน which mapped to BS_L or BS_OE in Taxonomy.,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[29752251, 30383573]"
13,0,109999,รวมสินทรัพย์,"Although the provided context lacks a clear item directly matching the input '0', the context's metadata suggests a connection to 'สินทรัพย์สุทธิ' (net assets) within the 'งบแสดงฐานะการเงิน' (balance sheet). However, 'item_in_taxonomy' should be used instead of 'fs_category' based on the instructions. Therefore, 'รวมสินทรัพย์' is chosen, aligning with the broader context of 'สินทรัพย์' (assets).",งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[0, 0]"
14,สินทรัพย์สุทธิต่อหน่วย (บาท),330101,สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย),"Found financial_statement_type งบแสดงฐานะการเงิน and fs_category สินทรัพย์สุทธิ matched to financial_statement_type BS_OE and fs_category ส่วนของผู้ถือหุ้น from Taxonomy list.  Thus, the SET Code should be 330101 and Item in Taxonomy should be สินทรัพย์สุทธิต่อหน่วย (บาท/หน่วย).",งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[5.1403, 5.2494]"
15,จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย),330201,จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย),"The query 'จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย)' best matches the item_in_taxonomy 'จำนวนหน่วยลงทุนที่จำหน่ายแล้วทั้งหมด ณ วันสิ้นงวด/ปี (พันหน่วย)' from the provided taxonomy list. Although the input's fs_category is 'สินทรัพย์สุทธิ', the taxonomy list suggests that this item belongs to the 'ส่วนของผู้ถือหุ้น' fs_category. Therefore, we prioritize matching based on the item_in_taxonomy.",งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ,"[5788000, 5788000]"
16,รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ,410122,รายได้จากเงินลงทุน รายได้จากเงินลงทุนในสัญญาโอนขายทรัพย์สินและสิทธิรายได้,"The query mentions ""รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ"" which closely matches the meaning of taxonomy ""บางครั้งใช้ขื่อว่า รายได้จากเงินลงทุนในสัญญาซื้อและโอนสิทธิรายได้สุทธิ หมายถึง รายได้จากเงินลงทุนในสัญญาโอนขายทรัพย์สินและสิทธิรายได้ที่กองทุนได้รับ  "" in the provided taxonomy list. Therefore, the selected SET Code is ""410122"" and Item in Taxonomy is ""รายได้จากเงินลงทุน รายได้จากเงินลงทุนในสัญญาโอนขายทรัพย์สินและสิทธิรายได้"".",งบกำไรขาดทุนเบ็ดเสร็จ สำหรับงวดสามเดือนสิ้นสุดวันที่ 30 มิถุนายน 2567,รายได้จากการลงทุน,"[966577.0, 1040082]"
